year,vingt - six hommes
1921,5.849871698160314e-09
1922,9.772664455454105e-09
1923,3.5194243075409304e-09
1924,8.549434049598403e-09
1925,1.0966667574052735e-08
1926,1.85185555778844e-08
1927,1.3576948454385729e-08
1928,1.2651650393991076e-08
1929,1.2342626476424812e-08
1930,9.300634928877116e-09
1931,1.38914009184532e-08
1932,8.490173897257591e-09
1933,1.6494371424258247e-08
1934,9.291923674936697e-09
1935,7.958243841699186e-09
1936,1.476452249349336e-08
1937,6.973795318998555e-09
1938,1.4344111454178687e-09
1939,5.082652521082309e-09
1940,2.8146150299335204e-08
1941,2.9528672840228865e-08
1942,3.700835016218207e-08
1943,3.2113727677085535e-08
1944,1.7747252556432613e-08
1945,1.4417772309371912e-08
1946,1.3857622604973585e-08
1947,3.9503483817426854e-09
1948,1.2032065122014046e-08
1949,1.622411183177519e-08
1950,1.646786973452663e-08
1951,1.0619153556490346e-08
1952,8.176197385800776e-09
1953,9.526608835130901e-09
1954,6.484033754361462e-09
1955,6.232695692887091e-09
1956,3.858756425501042e-09
1957,7.823021341835101e-09
1958,3.659567315850154e-09
1959,8.574415399920099e-09
1960,1.836807750343894e-08
1961,1.533625781924286e-08
1962,6.994258061610026e-09
1963,1.2124711401551025e-08
1964,8.05357558419928e-09
1965,1.267111326974657e-08
1966,7.943747104555143e-09
1967,9.234207232200475e-09
1968,7.9054951473978e-09
1969,1.1982577263758287e-08
1970,1.3656269337580795e-08
1971,1.0199398658983228e-08
1972,6.21830453795269e-09
1973,1.4623875888020166e-08
1974,1.7414013009364737e-08
1975,7.578680349951128e-09
1976,7.573641602753867e-09
1977,5.845194828157929e-09
1978,1.1123898413512023e-08
1979,9.018022995022079e-09
1980,9.39250099918354e-09
1981,6.962825871426048e-09
1982,6.8187144819376044e-09
1983,1.1107090358564164e-08
1984,1.5283515786279622e-08
1985,7.269254975739159e-09
1986,8.558607156317066e-09
1987,1.0070519529392641e-08
1988,5.9272322050496484e-09
1989,1.265839344455344e-08
1990,7.163994508729843e-09
1991,9.644887555282367e-09
1992,9.656056954021608e-09
1993,7.279285840766647e-09
1994,1.5010762188794047e-08
1995,9.486172847239516e-09
1996,1.4000477221998153e-08
1997,7.327936479839536e-09
1998,6.763327842218558e-09
1999,1.2961371531616805e-08
2000,7.226028830853437e-09
2001,9.554933511068953e-09
2002,1.7661380802280746e-08
2003,1.3160003531353937e-08
2004,1.0552637874639004e-08
2005,1.8638754539779256e-08
2006,1.1218546647207006e-08
2007,1.3089072381511357e-08
2008,1.069232702377576e-08
2009,8.866684497732535e-09
2010,1.1906784835868933e-08
2011,1.3848207913724764e-08
2012,1.762295598339847e-08
2013,1.386087522536883e-08
2014,1.6766086297081984e-08
2015,1.4708499196380842e-08
2016,2.1778636449809596e-08
2017,1.3387295383360254e-08
2018,1.5470966840958056e-08
2019,1.1896505114350475e-08
