year,étiez_VERB avant_ADP
1965,4.924839203113152e-09
1966,1.6617224263271169e-09
1967,9.860671390526932e-09
1968,1.0779397818794223e-08
1969,6.8126366770115965e-09
1970,9.197449912790034e-09
1971,9.762954888969944e-09
1972,7.69522046084603e-09
1973,1.1577728109557484e-08
1974,3.3753431161187564e-09
1975,4.569184142155791e-09
1976,1.2569759455516305e-08
1977,2.938390863960194e-09
1978,6.534650598410963e-09
1979,8.192762912528906e-09
1980,5.6851505725319385e-09
1981,1.0120879245789638e-08
1982,7.449002747961231e-09
1983,7.57837881337764e-09
1984,7.538710988796993e-09
1985,4.210890747202711e-09
1986,9.591176741707841e-09
1987,6.721898593298192e-09
1988,6.596209356501959e-09
1989,6.036934507847036e-09
1990,4.90378582185258e-09
1991,5.8614650910726596e-09
1992,3.856960972825618e-09
1993,5.539207315052863e-09
1994,4.747434001473039e-09
1995,1.3013881527967897e-08
1996,6.939520069693117e-09
1997,3.3564262480467733e-09
1998,2.3840645013706308e-09
1999,1.0968483010742602e-08
2000,8.394259509714175e-09
2001,8.762423675534592e-09
2002,1.0953053575235572e-08
2003,7.91715315529018e-09
2004,3.9643119897903034e-09
2005,8.557123898356167e-09
2006,7.412201963319376e-09
2007,7.988958827809256e-09
2008,8.51487946817997e-09
2009,8.105927484791664e-09
2010,1.2281861749841028e-08
2011,1.5678285336662157e-08
2012,1.7702113552786614e-08
2013,2.2034088331679413e-08
2014,2.2520630693634303e-08
2015,2.105746688130239e-08
2016,2.1127668503595487e-08
2017,2.5910797063488644e-08
2018,2.2458760184917992e-08
2019,1.8877308605169674e-08
