year,meilleures_ADJ heures_NOUN
1946,4.037120149291695e-08
1947,5.8412268799656886e-08
1948,3.261566305923225e-08
1949,5.4975245689092844e-08
1950,4.3604980959344175e-08
1951,3.1984203729962246e-08
1952,3.585233443459401e-08
1953,2.5857186614075545e-08
1954,3.420387528763058e-08
1955,2.440258128899586e-08
1956,4.0117249966442614e-08
1957,4.240818185508033e-08
1958,3.22617488279775e-08
1959,1.8601795659378695e-08
1960,2.353083417006019e-08
1961,2.987708569435199e-08
1962,3.4880759613997725e-08
1963,1.681173777967615e-08
1964,2.798625509115027e-08
1965,3.447387442179206e-08
1966,4.265087483190655e-08
1967,3.747054933000982e-08
1968,3.817703486674873e-08
1969,2.5888018839737015e-08
1970,3.449043717296263e-08
1971,3.7510300643361916e-08
1972,4.052816038324636e-08
1973,2.4809416743210022e-08
1974,3.6566216721212186e-08
1975,3.655347313724633e-08
1976,3.028169359708954e-08
1977,2.9971587878208084e-08
1978,2.4356424432880885e-08
1979,2.984506508596496e-08
1980,2.2740602290127754e-08
1981,2.340453342242199e-08
1982,2.0484757001781873e-08
1983,2.5892795463278162e-08
1984,2.3775934110403796e-08
1985,2.4062231318566774e-08
1986,2.7574632355253925e-08
1987,4.21646362269712e-08
1988,3.7778288941581195e-08
1989,2.359892548042808e-08
1990,2.1249737969242233e-08
1991,2.3445860364290638e-08
1992,2.4243753671271406e-08
1993,6.81322518403249e-08
1994,2.0572214154412904e-08
1995,2.6027763055935793e-08
1996,2.3487604750016544e-08
1997,1.5823152565985765e-08
1998,2.8131962537258914e-08
1999,2.7878227726318983e-08
2000,2.0322945104567225e-08
2001,2.4096664219541708e-08
2002,1.5772396722013582e-08
2003,2.5834921757450502e-08
2004,2.5547789661573006e-08
2005,2.1617998058331978e-08
2006,2.388376074691223e-08
2007,2.836080348345149e-08
2008,2.9802077250451475e-08
2009,2.9562793102400065e-08
2010,2.1257068993918438e-08
2011,2.9062187323347644e-08
2012,3.4042528795907856e-08
2013,2.872798710029656e-08
2014,3.832838046946563e-08
2015,3.103205514776164e-08
2016,3.541991588917881e-08
2017,3.069045817483129e-08
2018,3.020316086121966e-08
2019,3.673422455108266e-08
