year,êtes_VERB avant_ADP
1949,3.9268033269479474e-09
1950,4.2541445921528975e-09
1951,6.396841278899501e-09
1952,1.1599284199803606e-08
1953,5.386913581872932e-09
1954,1.07497895029951e-08
1955,6.569925492527773e-09
1956,8.72114114258693e-09
1957,2.2087593976038988e-08
1958,1.6544486891589827e-09
1959,9.300897829689347e-09
1960,4.152500121534786e-09
1961,5.55852741612739e-09
1962,3.170978146727066e-09
1963,8.405868889838075e-09
1964,7.300761772910391e-09
1965,6.0192477668863376e-09
1966,1.1078149508847446e-09
1967,1.035370456037299e-08
1968,8.982831367632116e-09
1969,8.629339909305145e-09
1970,5.058597540852361e-09
1971,9.762954888969944e-09
1972,5.643161493651405e-09
1973,6.615844760915479e-09
1974,7.875800456247362e-09
1975,7.996072248772634e-09
1976,2.285410749536254e-09
1977,5.876781727920388e-09
1978,6.534650598410963e-09
1979,1.1118749476679568e-08
1980,1.6486936260662333e-08
1981,8.223214109648325e-09
1982,9.311253101884631e-09
1983,1.0104505676622466e-08
1984,9.858314165001048e-09
1985,4.210890747202711e-09
1986,7.792831269171074e-09
1987,4.277571630240118e-09
1988,8.395175221664886e-09
1989,1.1525056464734007e-08
1990,8.172976073694826e-09
1991,7.033758464558559e-09
1992,7.713921945651236e-09
1993,8.862731881720265e-09
1994,4.2199412852994556e-09
1995,1.0302656505700725e-08
1996,1.4412848692302305e-08
1997,1.2466725429760572e-08
1998,6.675381136744818e-09
1999,7.312321859131998e-09
2000,9.719669513685858e-09
2001,7.886181485616817e-09
2002,4.81934359086722e-09
2003,6.667076668520622e-09
2004,1.0131019578807354e-08
2005,9.007498746882447e-09
2006,1.1941880373456115e-08
2007,1.1983438241713884e-08
2008,1.3198063086861112e-08
2009,8.582746957586096e-09
2010,1.795041271179798e-08
2011,2.4473420623394304e-08
2012,1.974466634635519e-08
2013,1.561910067948702e-08
2014,1.9705550968751595e-08
2015,1.7289288223309995e-08
2016,2.2163337831671015e-08
2017,2.1885819379008353e-08
2018,2.2716907466246994e-08
2019,2.4744581494928752e-08
