avonsVERBeuVERB_count,avonsVERBtuVERB_count
11229.00002894101,10.999999945765802
11311.000002614564,16.000000370589778
10222.000384758314,14.999999443426333
9636.999425061504,19.99999882270166
8945.000510493279,22.00000073347787
9288.99929726083,11.999999091998648
9074.999892894024,9.000000014436157
8252.999383669949,15.99999949817215
8781.000218814488,12.000000342844938
9708.000536527457,17.00000032414675
7538.000063391843,4.9999999562702735
7604.0001613080985,9.999999870426333
7789.999527807284,8.999999980007795
8308.999807219141,11.00000005657944
7631.999679684177,7.000000088481613
8301.999784961521,3.999999948416011
7112.999452441897,3.9999998255638434
7056.000138324398,5.999999699475547
8469.000210590248,7.999999948405436
7906.999810578624,16.00000005437413
7863.000349511726,7.999999965844085
7060.999422688737,5.999999973664295
7676.999318051571,8.999999918599588
9214.000424485017,17.000000789395877
7725.00012103956,5.999999721255025
