year,soyons_VERB heureux_ADJ
1873,4.070483106133338e-08
1874,2.6288280441377765e-08
1875,4.4627910256167524e-08
1876,4.7158913218936505e-08
1877,5.1333972628242464e-08
1878,4.5293164774307115e-08
1879,4.643087070377305e-08
1880,3.9790647221593645e-08
1881,5.856906426515707e-08
1882,2.3293846851402122e-08
1883,3.033282780506852e-08
1884,5.413391512831822e-08
1885,3.480643240294512e-08
1886,5.3563751656326986e-08
1887,5.288428983618587e-08
1888,4.882273429984707e-08
1889,5.513320466832283e-08
1890,4.391439034634459e-08
1891,4.079500914855316e-08
1892,4.5133289106047414e-08
1893,4.495644123636566e-08
1894,5.230277588808008e-08
1895,5.5973115919982774e-08
1896,4.304831158208344e-08
1897,2.6220211779559577e-08
1898,3.395012893037119e-08
1899,3.427098604902312e-08
1900,5.398695268610254e-08
1901,3.912117296778206e-08
1902,3.338992904389215e-08
1903,3.186129937660098e-08
1904,3.332267617395246e-08
1905,3.9221769831954134e-08
1906,5.349951770483585e-08
1907,2.1599942279237894e-08
1908,3.3397444809679655e-08
1909,5.5009836685826485e-08
1910,5.183826168320138e-08
1911,5.213966502992662e-08
1912,3.542406545875565e-08
1913,4.4014814015724824e-08
1914,2.0090231700464756e-08
1915,3.2986132936230206e-08
1916,2.6369908923129515e-08
1917,5.812205117194935e-08
1918,4.709414191950145e-08
1919,6.99796469660896e-08
1920,5.073395392685143e-08
1921,4.013556065274315e-08
1922,5.681010328828506e-08
1923,7.961961046021315e-08
1924,4.640984840875717e-08
1925,4.9491800879764014e-08
1926,6.018914788796792e-08
1927,5.574612593761685e-08
1928,4.34189573184085e-08
1929,5.124586976990031e-08
1930,4.516549445554574e-08
1931,5.1324104077821175e-08
1932,4.931791597329038e-08
1933,4.244144946596862e-08
1934,4.313368862085554e-08
1935,4.308582290946106e-08
1936,5.2136272188363364e-08
1937,3.903246614811451e-08
1938,5.70469449456823e-08
1939,5.6587985852729616e-08
1940,4.057252622757801e-08
1941,5.607854980382854e-08
1942,7.282108072104165e-08
1943,4.354852856103264e-08
1944,5.7837352684941834e-08
1945,6.753362669087437e-08
1946,3.2018538931311014e-08
1947,4.649139562218352e-08
1948,5.109787259982568e-08
1949,5.2030143748993396e-08
1950,3.616022858921042e-08
1951,4.051332602728053e-08
1952,4.74516177462192e-08
1953,4.632745742583211e-08
1954,4.49536656788041e-08
1955,4.5050917663047585e-08
1956,3.7500909044752007e-08
1957,4.505869366511206e-08
1958,4.2188441184976e-08
1959,6.200598079431074e-08
1960,4.429333344546649e-08
1961,4.168895628708924e-08
1962,3.424656380701663e-08
1963,3.4916688207431434e-08
1964,4.745495285618517e-08
1965,3.7209894721002e-08
1966,3.8773524835278295e-08
1967,4.3879987643435925e-08
1968,4.491415950269584e-08
1969,2.6342195091899612e-08
1970,1.9314644994494756e-08
1971,4.4704058232980515e-08
1972,2.8728821988011077e-08
1973,3.3079223360488186e-08
1974,1.6876714692415362e-08
1975,1.6563292515314743e-08
1976,3.828063022126571e-08
1977,2.4094804818020066e-08
1978,3.2673251659787184e-08
1979,3.803782622213703e-08
1980,2.0466542682839872e-08
1981,2.846497348940602e-08
1982,1.6139506175960605e-08
1983,3.157657957331139e-08
1984,2.609553906296469e-08
1985,2.4062232206745193e-08
1986,2.8174081734277934e-08
1987,2.749867622497959e-08
1988,1.679035088741898e-08
1989,2.8538234886354985e-08
1990,2.1249739301509862e-08
1991,2.2273567878983158e-08
1992,1.983579966946536e-08
1993,2.7696037463442735e-08
1994,2.2154691858844444e-08
1995,1.8978577376316252e-08
1996,2.2419985867827563e-08
1997,2.8769366888781178e-08
1998,2.6701523658800852e-08
1999,2.9249288324706413e-08
2000,1.8113929023400033e-08
2001,2.0591695015781397e-08
2002,3.066855125410939e-08
2003,2.9168460535800023e-08
2004,3.0833538389174464e-08
2005,2.612174831995162e-08
2006,2.841344137749502e-08
2007,3.555086713902256e-08
2008,3.0653565463723e-08
2009,4.243691353877921e-08
2010,3.967986206276919e-08
2011,4.51228694409167e-08
2012,6.536165297887919e-08
2013,6.498661342391188e-08
2014,7.36251362098983e-08
2015,6.51673150997567e-08
2016,8.18179302086719e-08
2017,6.439965005711201e-08
2018,8.028361087042413e-08
2019,7.83153240035972e-08
