year,ces_DET oeufs_NOUN
1983,3.220811262139023e-08
1984,4.1752861612565084e-08
1985,2.8874678204005022e-08
1986,2.8174081290188724e-08
1987,2.0776776743502978e-08
1988,3.7778288497491985e-08
1989,2.8538236107600312e-08
1990,2.0160008162850573e-08
1991,3.458264430378222e-08
1992,2.8651709449434293e-08
1993,1.99411469559152e-08
1994,3.4287023831236496e-08
1995,1.8978578264494672e-08
1996,2.6690460508405067e-08
1997,1.8700088588730068e-08
1998,1.3827574751879013e-08
1999,2.193696624352981e-08
2000,9.277865808954289e-09
2001,1.0953029372373635e-08
2002,7.009954394732176e-09
2003,5.416999848684156e-09
2004,7.48814499296202e-09
2005,7.205999352777326e-09
2006,7.41220168576362e-09
2007,7.988959105365012e-09
2008,6.3861593790903726e-09
2009,7.1522885392028e-09
2010,1.8895172648747405e-09
2011,5.35356059483405e-09
2012,3.744677901096338e-09
2013,2.5102125378317908e-09
2014,6.063246571486047e-09
2015,5.763096111444099e-09
2016,2.2784741315895474e-09
2017,3.0187335409159743e-09
2018,6.453666490102705e-09
2019,7.397864654201669e-09
