year,vingt - deux pages
1920,1.7521090966976516e-08
1921,9.192655525680493e-09
1922,1.38446072384113e-08
1923,1.994340514954729e-08
1924,2.707320767569854e-08
1925,2.0714816528766278e-08
1926,3.333340004019192e-08
1927,3.8262308432734926e-08
1928,3.2894291734919534e-08
1929,1.4811152304616826e-08
1930,2.208900795608315e-08
1931,3.409707494128611e-08
1932,4.2450871262644796e-08
1933,2.6644751516258225e-08
1934,2.256609954454092e-08
1935,2.387473152509756e-08
1936,2.5502357559048505e-08
1937,1.255283166301524e-08
1938,4.0163513403967954e-08
1939,1.863639320642818e-08
1940,2.2516919884196795e-08
1941,1.3123854003538327e-08
1942,1.0093186730841808e-08
1943,3.532510106651898e-08
1944,1.419780204514609e-08
1945,2.4029620959709064e-08
1946,3.8493396914418554e-08
1947,2.3702090956589927e-08
1948,1.684489181474902e-08
1949,1.622411183177519e-08
1950,2.2349251338482645e-08
1951,2.2418213063701842e-08
1952,4.672112807746487e-08
1953,2.9770653497962485e-08
1954,3.1339496331384e-08
1955,3.220225974764901e-08
1956,4.244632023642225e-08
1957,1.8579676019925273e-08
1958,1.0063810229610226e-08
1959,1.3719064995143526e-08
1960,2.2194759807803166e-08
1961,1.3035819146356431e-08
1962,2.16821999243777e-08
1963,2.5675860049201304e-08
1964,2.4831858680407493e-08
1965,3.19794767333903e-08
1966,2.4442299850768734e-08
1967,1.9011602958585172e-08
1968,2.6186951274098647e-08
1969,2.39651557487619e-08
1970,2.7312538009027776e-08
1971,1.529909798847484e-08
1972,2.7699719573615056e-08
1973,2.31544703410691e-08
1974,2.7364877031033075e-08
1975,2.526226805521503e-08
1976,2.0827515490040582e-08
1977,1.1040923730831764e-08
1978,2.61738790641175e-08
1979,3.5427947464583553e-08
1980,3.318683594599747e-08
1981,2.6458737867329774e-08
1982,3.204795895328516e-08
1983,2.0131601274897548e-08
1984,2.2925273235330224e-08
1985,2.5772813438962316e-08
1986,3.620948874072383e-08
1987,1.4770095368987768e-08
1988,2.041602265023812e-08
1989,2.230288487226062e-08
1990,2.3282982430927746e-08
1991,2.5076707599325232e-08
1992,2.5347150045540445e-08
1993,1.7591608170164363e-08
1994,2.4248155205963684e-08
1995,2.3715431451964974e-08
1996,3.966801731536407e-08
1997,3.088201611101127e-08
1998,2.7053311590918838e-08
1999,2.3928685477514477e-08
2000,3.323973218893883e-08
2001,3.248677321598947e-08
2002,2.1002723116225752e-08
2003,2.5412420834314275e-08
2004,2.3023936535082612e-08
2005,2.1581715303753413e-08
2006,1.8398415235765242e-08
2007,1.8761003139911026e-08
2008,2.6963260513213072e-08
2009,1.3039241686385594e-08
2010,2.3813568672537144e-08
2011,1.1330351767924185e-08
2012,1.4998260411402953e-08
2013,2.1869381194861148e-08
2014,1.628705437184408e-08
2015,1.323764917127157e-08
2016,1.146244006655639e-08
2017,1.7013020880973784e-08
2018,1.1173475367165508e-08
2019,1.5295506444745754e-08
