year,talents_NOUN heureux_ADJ
2000,1.7672125984802278e-09
2001,2.6287270138425356e-09
2002,8.76244299341522e-10
2003,0.0
2004,0.0
2005,2.251874686720612e-09
2006,1.2353669198716943e-09
2007,3.994479469415779e-10
2008,8.514879357157668e-10
2009,0.0
2010,1.4171379625338432e-09
2011,3.82397197240536e-10
2012,6.808505426114664e-10
2013,8.367375126105969e-10
2014,1.9489005964601347e-09
2015,2.21657536769726e-09
2016,2.0713399884186856e-09
2017,5.031222660711876e-10
2018,5.162933414126769e-10
2019,1.7856913725466939e-09
