year,quelques_DET heureux_ADJ
1878,4.6500981509822736e-08
1879,3.360128841833898e-08
1880,2.6954953824542827e-08
1881,4.532129793677342e-08
1882,3.660461800336634e-08
1883,6.5721124542506e-08
1884,3.234831424947515e-08
1885,3.609556031847205e-08
1886,3.74300892502788e-08
1887,3.852065688647599e-08
1888,3.9311810695608074e-08
1889,5.325366103647866e-08
1890,3.211649463041866e-08
1891,4.206985337873448e-08
1892,3.761107336686109e-08
1893,2.1554457829697782e-08
1894,2.6466464575491955e-08
1895,3.430610084897978e-08
1896,3.8920391243202346e-08
1897,5.535377978205247e-08
1898,4.2437662273187016e-08
1899,4.532614283903058e-08
1900,2.906989848838748e-08
1901,4.750427962108006e-08
1902,2.8479647085077886e-08
1903,4.212171944573129e-08
1904,3.2247751136083025e-08
1905,3.5609238058231796e-08
1906,3.189394293112713e-08
1907,4.9371295218758604e-08
1908,3.7817696751929475e-08
1909,2.585462333115629e-08
1910,4.0615546481603815e-08
1911,2.8197982615552064e-08
1912,3.542406606937831e-08
1913,2.5454351515463713e-08
1914,1.8081207919795617e-08
1915,4.830112487752558e-08
1916,4.8344833913915863e-08
1917,2.52227767560953e-08
1918,3.9053681177847466e-08
1919,3.314825353095685e-08
1920,3.104615009519307e-08
1921,2.574734203619755e-08
1922,3.9840852839034824e-08
1923,2.1231896241147297e-08
1924,1.804827398643738e-08
1925,3.519416935660047e-08
1926,2.3406890647947876e-08
1927,3.0102906833917586e-08
1928,2.7422499715434867e-08
1929,1.7824650200282122e-08
1930,3.571225093423891e-08
1931,3.079446386777818e-08
1932,3.9454331357546835e-08
1933,2.064719240024715e-08
1934,1.9170528275935794e-08
1935,2.6330224223158893e-08
1936,1.9399543305098632e-08
1937,2.1404900962807005e-08
1938,4.2785206488815675e-08
1939,3.211750509990452e-08
1940,2.028626333583361e-08
1941,2.9515025090631752e-08
1942,4.5513175450651033e-08
1943,2.322588166236983e-08
1944,1.2852744646352221e-08
1945,1.742803235060819e-08
1946,2.5057987684817817e-08
1947,2.1457568166738383e-08
1948,2.174377655705939e-08
1949,1.668891336237266e-08
1950,3.296961992305114e-08
1951,1.0661401539380222e-08
1952,9.490323193972472e-09
1953,1.508335856215126e-08
1954,1.172704333640695e-08
1955,1.5016972110259985e-08
1956,1.657016923672927e-08
1957,1.325255621908994e-08
1958,6.617794756635931e-09
1959,1.55014957536892e-08
1960,1.4533750203327145e-08
1961,1.528595028332802e-08
1962,2.4099433559854333e-08
1963,1.4871922360271128e-08
1964,1.520992043424485e-08
1965,1.7510538796727815e-08
1966,1.9386762417639147e-08
1967,1.8735275053582967e-08
1968,3.0092485781008094e-08
1969,1.8621206326896456e-08
1970,2.2993624781975086e-08
1971,2.4150468291850302e-08
1972,2.3598676068825597e-08
1973,2.0950174928202614e-08
1974,2.3627400480563665e-08
1975,1.7134439644905797e-08
1976,1.3141112087389217e-08
1977,1.9981058585472056e-08
1978,1.9603952239322098e-08
1979,2.5748682519477484e-08
1980,2.1035057307106086e-08
1981,1.5181319312773667e-08
1982,2.2347008910017507e-08
1983,2.273513821648976e-08
1984,2.5515638157891374e-08
1985,1.3835783185811579e-08
1986,1.498621315931814e-08
1987,2.5665430669619127e-08
1988,1.9188972188999287e-08
1989,1.9757239400064464e-08
1990,2.288433365027487e-08
1991,2.0515127652220855e-08
1992,1.8182815253453555e-08
1993,1.938722604677423e-08
1994,1.635227242502424e-08
1995,2.277429267394382e-08
1996,2.2419987644184403e-08
1997,1.7261619689179497e-08
1998,2.43174582692518e-08
1999,1.8280805230697084e-08
2000,1.8555732950176207e-08
2001,1.270551397425379e-08
2002,2.541108479192644e-08
2003,1.750107614384433e-08
2004,2.4666830356068203e-08
2005,1.170974872621855e-08
2006,1.523619275189958e-08
2007,1.4779574009082808e-08
2008,9.79211112195344e-09
2009,1.6211854525494118e-08
2010,1.5116137674908714e-08
2011,1.873746313663105e-08
2012,1.872338906139248e-08
2013,2.2312999448104165e-08
2014,2.0571728723273175e-08
2015,2.0392493027543424e-08
2016,3.1691503032948987e-08
2017,1.9370206771895937e-08
2018,1.8328414341794996e-08
2019,1.2754938438774843e-08
