year,leurs_DET heureux_ADJ
1877,6.432208721207644e-08
1878,7.428078857563136e-08
1879,7.819936498343338e-08
1880,5.776061540174737e-08
1881,6.2752566809543e-08
1882,4.7918773837807294e-08
1883,9.794975552868124e-08
1884,7.52593427577608e-08
1885,6.381179362691114e-08
1886,5.4854441211560356e-08
1887,5.027272020896589e-08
1888,5.072491870983242e-08
1889,8.583237365300533e-08
1890,6.947649877631079e-08
1891,4.3344694944380535e-08
1892,5.767031296954883e-08
1893,5.173069794750518e-08
1894,3.276800542018066e-08
1895,6.801034402315054e-08
1896,5.1893855657070276e-08
1897,4.311767876075123e-08
1898,4.243766249523162e-08
1899,6.025060628189749e-08
1900,3.7894686499839736e-08
1901,4.191554137111808e-08
1902,4.615666782115113e-08
1903,3.4561410622302446e-08
1904,5.159640181773284e-08
1905,4.696290778483103e-08
1906,4.938417264011008e-08
1907,4.2171315939310006e-08
1908,4.862275071459976e-08
1909,4.015717836036714e-08
1910,4.008112952647025e-08
1911,3.8838732119295116e-08
1912,4.323819702278797e-08
1913,3.553003136147481e-08
1914,3.3483718908655646e-08
1915,2.238344798399794e-08
1916,5.16410700868164e-08
1917,5.2638835512652804e-08
1918,2.067547733020092e-08
1919,3.1306683467846597e-08
1920,3.7861157320406846e-08
1921,2.574734203619755e-08
1922,3.24629176873259e-08
1923,4.777176698667063e-08
1924,2.4494086758863887e-08
1925,3.8493624288094e-08
1926,3.343841470382358e-08
1927,4.6826745592198904e-08
1928,2.742249805010033e-08
1929,5.013182757807044e-08
1930,4.0964054592862453e-08
1931,3.42160717536899e-08
1932,2.7398842306070037e-08
1933,2.523545639121494e-08
1934,3.235026646564165e-08
1935,2.2739740757060645e-08
1936,3.6374141920703096e-08
1937,2.2664012888640173e-08
1938,1.9447821131279852e-08
1939,1.988226472349197e-08
1940,1.2678914806940611e-08
1941,8.854508237732261e-09
1942,2.1239483061208375e-08
1943,2.9032352077962287e-08
1944,2.2492303131116387e-08
1945,3.921307367704685e-08
1946,2.7842208538686464e-08
1947,3.2186350917839945e-08
1948,2.3918153679858278e-08
1949,1.668891336237266e-08
1950,2.1270722072586068e-08
1951,2.2388944032059044e-08
1952,1.4762725264461096e-08
1953,2.3702419582605216e-08
1954,7.818028890937967e-09
1955,1.407841176970237e-08
1956,2.0058624983221307e-08
1957,2.2087593976038988e-08
1958,2.0680609225109947e-08
1959,1.8601795659378695e-08
1960,1.4533750203327145e-08
1961,1.5285950061283415e-08
1962,1.0781326054143392e-08
1963,9.052474103654617e-09
1964,2.4335873705094713e-08
1965,2.8454625322638094e-08
1966,1.9386762417639147e-08
1967,1.5777073869571723e-08
1968,2.560107012494761e-08
1969,2.180043701116574e-08
1970,2.2073879446526945e-08
1971,2.1581270104320538e-08
1972,2.359867534718063e-08
1973,2.0398854161385316e-08
1974,1.0688586127294286e-08
1975,1.9419033048251322e-08
1976,1.085570122683066e-08
1977,9.990529292736028e-09
1978,6.534650598410963e-09
1979,1.404473604083023e-08
1980,1.3644362084619388e-08
1981,1.1385989540091401e-08
1982,1.179425412889401e-08
1983,8.209910973278056e-09
1984,1.2177918229383522e-08
1985,1.2031116436439504e-08
1986,1.618511108469889e-08
1987,1.5277041853778428e-08
1988,1.1393452348240629e-08
1989,1.15250561316671e-08
1990,1.7980548217000347e-08
1991,1.9342835166913375e-08
1992,8.815910779169656e-09
1993,1.1078414630105726e-08
1994,9.494867891923775e-09
1995,1.138714633697191e-08
1996,1.9750941993024185e-08
1997,1.5823152565985765e-08
1998,8.582632382569955e-09
1999,1.3710603319339043e-08
2000,1.3254094710646314e-08
2001,1.1391150245287918e-08
2002,1.5772397388147397e-08
2003,1.291746132281446e-08
2004,7.928623979580607e-09
2005,1.4411998705554652e-08
2006,1.5647982465338828e-08
2007,2.3567428897308673e-08
2008,1.0643598891135753e-08
2009,2.002640919762655e-08
2010,1.747803501928047e-08
2011,1.2619107508937688e-08
2012,1.2255309989051e-08
2013,1.004085004030486e-08
2014,1.3642304896865909e-08
2015,1.3964425352175347e-08
2016,2.7548822556511254e-08
2017,1.0817128526241504e-08
2018,7.486253394972664e-09
2019,9.948851853458507e-09
