year,ménages_NOUN heureux_ADJ
1905,1.0321517862621477e-08
1906,7.716276506641861e-09
1907,6.685696440911215e-09
1908,1.4243028090277221e-08
1909,6.0510818578052294e-09
1910,1.5498036631811374e-08
1911,3.7242617878519013e-09
1912,4.167536982180309e-09
1913,8.484783542428431e-09
1914,9.37544086809794e-09
1915,2.238344798399794e-08
1916,7.69122365795738e-09
1917,3.289927441585405e-09
1918,1.378365155346728e-08
1919,1.5653341733923298e-08
1920,6.057785384427916e-09
1921,2.2718242842501013e-09
1922,1.770704471937279e-08
1923,8.492758496458919e-09
1924,1.4180787211159895e-08
1925,4.399271169575059e-09
1926,1.114613823460786e-08
1927,6.689535148041159e-09
1928,2.5137291359556002e-08
1929,7.798284684668033e-09
1930,8.402882833991043e-09
1931,6.843213995466613e-09
1932,1.0959536611565568e-09
1933,1.1470662197865522e-09
1934,3.5944740517379614e-09
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,1.1332006444320086e-08
1938,9.075650453382877e-09
1939,1.3764645423464117e-08
1940,1.2678914806940611e-08
1941,5.9030051957620344e-09
1942,1.8205270180260413e-08
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,1.5249527862692958e-08
1946,9.744772988540262e-09
1947,2.0265479960812627e-08
1948,9.784699273041042e-09
1949,1.47255123650325e-08
1950,1.0635361036293034e-08
1951,7.462981344019681e-09
1952,1.2653764258629963e-08
1953,1.4005975934594517e-08
1954,1.0749790169128914e-08
1955,1.220129064449793e-08
1956,1.5698054411927842e-08
1957,7.068030161150318e-09
1958,8.272243334772611e-09
1959,6.200598257066758e-09
1960,5.536666680683311e-09
1961,4.86371165564492e-09
1962,1.1415521861124489e-08
1963,7.1126584622049904e-09
1964,7.300761772910391e-09
1965,6.5664522708175355e-09
1966,4.431259803538978e-09
1967,1.1339771788243524e-08
1968,4.940557296606585e-09
1969,6.8126366770115965e-09
1970,9.657322941336588e-09
1971,7.193756701440179e-09
1972,7.69522046084603e-09
1973,6.615844760915479e-09
1974,2.812785782069227e-09
1975,6.8537762132336866e-09
1976,4.570821499072508e-09
1977,6.464460078348111e-09
1978,1.247524139547096e-08
1979,4.681578680276743e-09
1980,3.411090521154847e-09
1981,7.590659656386833e-09
1982,6.828252629986764e-09
1983,4.4207211225000265e-09
1984,2.3196033982486597e-09
1985,6.015557829641693e-09
1986,3.5966913891627428e-09
1987,1.8332451112712533e-09
1988,2.398621523624911e-09
1989,6.585746614717891e-09
1990,4.90378582185258e-09
1991,1.1722930404189924e-09
1992,3.856960972825618e-09
1993,3.323524566667402e-09
1994,5.274926606624319e-10
1995,1.0844901643380922e-09
1996,1.6014276571496566e-09
1997,2.3974471297094624e-09
1998,1.43043876743576e-09
1999,4.570201106446348e-09
2000,2.2090156370779823e-09
2001,6.133696661692056e-09
2002,1.752488598683044e-09
2003,2.083461403401543e-09
2004,2.2023955992267474e-09
2005,3.1526248278623825e-09
2006,2.4707338397433887e-09
2007,1.5977917877663117e-09
2008,1.2772318758180745e-09
2009,4.291373478793048e-09
2010,1.8895172093635892e-09
2011,3.059177577924288e-09
2012,1.3617010852229328e-09
2013,1.9523875849358774e-09
2014,3.681256854903836e-09
2015,3.32486305154589e-09
2016,5.59261792432153e-09
2017,1.0062445321423752e-09
2018,3.3559066636712487e-09
2019,2.2958890344426663e-09
