year,vingt - trois pages
1907,7.388796685603438e-09
1908,2.2241944175327433e-08
1909,2.7297295090988882e-08
1910,2.4773106344078144e-08
1911,1.761543089173756e-08
1912,1.3219760397475966e-08
1913,2.1649071257900943e-08
1914,1.1079890782639268e-08
1915,1.0390477811483834e-08
1916,1.934937721159713e-08
1917,1.3267126064420154e-08
1918,3.791308977874053e-08
1919,1.2161935458721018e-08
1920,7.509038724151651e-09
1921,7.521263611920403e-09
1922,1.4658995795002738e-08
1923,1.1731414950588714e-08
1924,1.2824150630308395e-08
1925,9.748148954713542e-09
1926,3.70371111557688e-09
1927,8.639876369898047e-09
1928,1.0121320670464229e-08
1929,8.639838844359815e-09
1930,1.2788373027206035e-08
1931,2.399423770782505e-08
1932,3.3960695589030365e-08
1933,2.4107157159392045e-08
1934,1.1946758693426318e-08
1935,1.0610991640902512e-08
1936,1.208006406017148e-08
1937,1.1158072688033371e-08
1938,2.7253812318051018e-08
1939,1.5247957563246928e-08
1940,3.658999392364137e-08
1941,9.842890946742955e-09
1942,2.0186372129415986e-08
1943,9.634118391943503e-09
1944,3.549450511286523e-08
1945,7.208885932641351e-09
1946,2.1556303408942767e-08
1947,2.6335655101128452e-08
1948,1.4438478190825776e-08
1949,9.734467454336482e-09
1950,2.117297626114123e-08
1951,7.079435704326897e-09
1952,1.0512254067229776e-08
1953,1.5480739357087714e-08
1954,9.726051075631403e-09
1955,7.271478530412878e-09
1956,1.2540958493900689e-08
1957,1.1734531568663442e-08
1958,1.829783613516156e-08
1959,2.4008364518657288e-08
1960,1.4541394754985504e-08
1961,1.917032199649782e-08
1962,2.238162566392532e-08
1963,1.4977585394149173e-08
1964,8.05357558419928e-09
1965,1.3877886062552136e-08
1966,1.2832207296753495e-08
1967,2.1727546206662396e-08
1968,2.0751923512918324e-08
1969,1.647604452870155e-08
1970,1.7196782997608295e-08
1971,7.932865031534675e-09
1972,2.4307918344845802e-08
1973,1.6451858986243906e-08
1974,1.8035942073169053e-08
1975,1.768358703913009e-08
1976,2.2089787776735648e-08
1977,1.883451616890852e-08
1978,1.7667368346074852e-08
1979,1.4815324300698762e-08
1980,2.0037334513833827e-08
1981,1.9495911551814515e-08
1982,1.9092400549425292e-08
1983,1.8743214980077028e-08
1984,1.9104394510804923e-08
1985,1.4538510839656738e-08
1986,1.7117214312634133e-08
1987,1.611283151348175e-08
1988,2.1074604061865898e-08
1989,1.4466736031337746e-08
1990,1.373098967860642e-08
1991,2.2504737962059096e-08
1992,1.3277078325657499e-08
1993,1.941142890871106e-08
1994,1.8474784369004738e-08
1995,1.956523121293685e-08
1996,1.3417123967407463e-08
1997,1.3609024351879384e-08
1998,2.028998336012222e-08
1999,1.2961371531616805e-08
2000,1.2525116666051161e-08
2001,1.719887959827915e-08
2002,2.1957393236959888e-08
2003,1.3613796312483828e-08
2004,1.5349291615507354e-08
2005,1.42243123946173e-08
2006,1.8398415235765242e-08
2007,1.4397979697378105e-08
2008,1.3481630589673443e-08
2009,1.3039242130474804e-08
2010,1.0353725876655062e-08
2011,8.812495622123606e-09
2012,1.0498782287982067e-08
2013,7.700486137629525e-09
2014,1.1736260407957388e-08
2015,7.844532995404663e-09
2016,8.711454849152922e-09
2017,1.031937330031596e-08
2018,9.454479865667054e-09
2019,1.2746255217965796e-08
