year,changements_NOUN heureux_ADJ
1958,6.617794756635931e-09
1959,1.7826719656000023e-08
1960,1.1765417085030094e-08
1961,6.25334317660986e-09
1962,8.244543714397423e-09
1963,9.052474325699222e-09
1964,9.125952438182594e-09
1965,1.586892572902343e-08
1966,1.0524241922382771e-08
1967,1.1832804958089582e-08
1968,1.8863946849023705e-08
1969,1.2262746373892242e-08
1970,1.4715920038099739e-08
1971,1.0790635052160269e-08
1972,1.2312352026810913e-08
1973,1.3783009400469837e-08
1974,6.750686232237513e-09
1975,8.567219822452898e-09
1976,1.199840671262109e-08
1977,1.9393379346865913e-08
1978,1.2475242172627077e-08
1979,8.192762912528906e-09
1980,1.2507331170752423e-08
1981,7.590659656386833e-09
1982,9.311253101884631e-09
1983,9.47297440490047e-09
1984,5.219107812592938e-09
1985,4.812446441349039e-09
1986,3.5966913891627428e-09
1987,6.721898593298192e-09
1988,7.795519785247507e-09
1989,5.488121956886971e-09
1990,1.0897301727652575e-08
1991,1.0550637696837839e-08
1992,9.366905473484621e-09
1993,7.200969598386564e-09
1994,5.802419433820205e-09
1995,7.0491861237087505e-09
1996,4.804283193493575e-09
1997,4.794894259418925e-09
1998,6.675381136744818e-09
1999,2.7421207526856506e-09
2000,4.418031274155965e-09
2001,4.8193329327261836e-09
2002,5.6955880012310445e-09
2003,4.583615265119079e-09
2004,4.845270407116686e-09
2005,4.053374524914943e-09
2006,6.1768350434476815e-09
2007,8.38840730210677e-09
2008,7.663391698997657e-09
2009,5.245011536203492e-09
2010,3.3066551718974324e-09
2011,4.971163480860241e-09
2012,6.468080293586809e-09
2013,8.925200134513034e-09
2014,6.9294245896855955e-09
2015,5.984753581600444e-09
2016,1.0149566520567532e-08
2017,6.5405894034142875e-09
2018,4.64663996169179e-09
2019,3.826481798085979e-09
