year,couples_NOUN heureux_ADJ
1908,1.4243028090277221e-08
1909,1.0451869147942716e-08
1910,2.4583092561591968e-08
1911,1.2768897827974968e-08
1912,9.89790061023399e-09
1913,1.0605979205990934e-08
1914,6.696743604095445e-09
1915,5.890381071793627e-09
1916,6.592477230782379e-09
1917,8.773139548168274e-09
1918,2.067547733020092e-08
1919,2.762354567309444e-09
1920,1.4387239843927091e-08
1921,1.5145494858259667e-09
1922,1.1066903560230656e-08
1923,1.0615948120573648e-08
1924,1.804827398643738e-08
1925,1.4297631523163545e-08
1926,1.89484357093761e-08
1927,1.5608915049369898e-08
1928,2.9707706517001498e-08
1929,1.4482528065684619e-08
1930,1.3654684494213143e-08
1931,9.124285327288817e-09
1932,7.6716757391182e-09
1933,1.261772819560747e-08
1934,1.4377896206951846e-08
1935,2.8723881939640705e-08
1936,1.091224355320719e-08
1937,1.3850230295986421e-08
1938,1.0372171566075394e-08
1939,7.647025235257843e-09
1940,7.607348750937604e-09
1941,1.1806010391524069e-08
1942,2.1239483061208375e-08
1943,1.1612940831184915e-08
1944,2.5705489292704442e-08
1945,3.267756198965799e-08
1946,1.5313215584455975e-08
1947,2.622591566137089e-08
1948,2.174377611297018e-08
1949,1.47255123650325e-08
1950,1.2762433776458693e-08
1951,2.2388944032059044e-08
1952,2.5307529738505252e-08
1953,1.6160740301529586e-08
1954,1.8567819282111486e-08
1955,1.9709776921672528e-08
1956,1.744228228517386e-08
1957,2.03205861026845e-08
1958,2.2335056470978998e-08
1959,1.7826719656000023e-08
1960,2.2146666722733244e-08
1961,1.528595028332802e-08
1962,1.6489087428794846e-08
1963,1.8751554753393407e-08
1964,2.251068309533366e-08
1965,1.3132904541635071e-08
1966,2.3818022332200428e-08
1967,1.4297973360832827e-08
1968,2.1109653913775617e-08
1969,1.9075383467237472e-08
1970,1.7475155905666284e-08
1971,2.7233506227908322e-08
1972,2.0007572487656944e-08
1973,1.984753300598996e-08
1974,7.875800511758513e-09
1975,1.6563292959403952e-08
1976,2.2282755196556536e-08
1977,1.5279633225340206e-08
1978,8.316828115084718e-09
1979,2.0481905949054635e-08
1980,1.989802728141754e-08
1981,3.6055632257614434e-08
1982,2.4209258597807093e-08
1983,2.1472073896688926e-08
1984,2.2616132300257163e-08
1985,2.346067662362117e-08
1986,1.3787316177626963e-08
1987,1.833245094617908e-08
1988,3.418035632307692e-08
1989,2.140367705294466e-08
1990,1.7980548605578406e-08
1991,1.582595654525676e-08
1992,1.5427843891302473e-08
1993,1.2740176913439427e-08
1994,2.6902124972139063e-08
1995,3.7957154752632505e-08
1996,1.7081895009596337e-08
1997,2.061804593722627e-08
1998,2.1456582288692516e-08
1999,2.6507166239753133e-08
2000,3.136802295689023e-08
2001,3.066848161537017e-08
2002,2.541108479192644e-08
2003,2.5834921424383595e-08
2004,1.761916479381398e-08
2005,2.026687284661932e-08
2006,3.294312023172097e-08
2007,3.1955837448416347e-08
2008,3.4485261840577763e-08
2009,3.862236042095901e-08
2010,4.6765551875438405e-08
2011,1.4645812373981215e-07
2012,7.897866252659647e-08
2013,5.885053866450107e-08
2014,5.15375958576314e-08
2015,4.67697400807765e-08
2016,7.64324474822331e-08
2017,6.18840374499996e-08
2018,6.995774981533032e-08
2019,6.734607838065898e-08
