year,rivages_NOUN heureux_ADJ
1884,3.300848483434038e-09
1885,4.511945039809007e-09
1886,5.808117542471791e-09
1887,0.0
1888,2.53624587998047e-09
1889,8.771191772893872e-09
1890,7.865263995654459e-09
1891,5.099376032546843e-09
1892,6.268512375839919e-10
1893,0.0
1894,3.780923574225881e-09
1895,3.611168697403855e-09
1896,6.486732040400511e-09
1897,1.7480140668268973e-09
1898,2.8291773368493978e-09
1899,4.9748205555033564e-09
1900,4.671947717582725e-09
1901,2.235495566438317e-09
1902,9.820567692386817e-10
1903,2.376096830403185e-08
1904,2.6873125946735854e-09
1905,3.6125313851442797e-09
1906,6.6874399351490865e-09
1907,1.3885677496716653e-08
1908,6.384805573134145e-09
1909,1.6502950117569526e-09
1910,4.275320542035388e-09
1911,3.1922244847493175e-09
1912,3.646594803896619e-09
1913,9.015082902408267e-09
1914,1.3393487430235496e-09
1915,0.0
1916,0.0
1917,1.0966424213165737e-08
1918,6.89182577673364e-09
1919,9.207848705727883e-09
1920,8.329454459499175e-09
1921,1.5145495524393482e-08
1922,1.475587119159627e-08
1923,8.492758496458919e-09
1924,1.2891624656674594e-08
1925,1.5397448649423495e-08
1926,1.89484357093761e-08
1927,7.804457524684949e-09
1928,2.2852082448565625e-09
1929,1.0026365515614089e-08
1930,1.3654684494213143e-08
1931,1.9389105432310316e-08
1932,9.863582839386709e-09
1933,8.02946331646126e-09
1934,1.0783422155213884e-08
1935,4.787313656606784e-09
1936,1.4549657478823974e-08
1937,2.5182236296217297e-09
1938,1.0372171566075394e-08
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,2.1239483061208375e-08
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,1.5249527862692958e-08
1946,4.1763312808029696e-09
1947,1.1920870957027319e-09
1948,6.523132700664291e-09
1949,1.8652315247891238e-08
1950,6.381216888229346e-09
1951,2.1322803522849654e-09
1952,9.490323193972472e-09
1953,6.464296653518886e-09
1954,8.795282724349818e-09
1955,8.447047505910632e-09
1956,5.232684952005684e-09
1957,7.068030161150318e-09
1958,7.445019267748876e-09
1959,8.525822714489095e-09
1960,5.536666680683311e-09
1961,1.181187059273725e-08
1962,8.244543714397423e-09
1963,8.405868889838075e-09
1964,1.4601523545820783e-08
1965,1.0396882466068291e-08
1966,6.092982118843793e-09
1967,6.902469706915326e-09
1968,1.2126823101255013e-08
1969,1.407944960618579e-08
1970,5.518470125309705e-09
1971,1.0790635052160269e-08
1972,7.69522046084603e-09
1973,5.513203671370093e-09
1974,1.2938814464291681e-08
1975,9.138368284311582e-09
1976,1.3712464053128315e-08
1977,3.526069214387917e-09
1978,5.346532105932056e-09
1979,3.5111840102075575e-09
1980,5.116635559687666e-09
1981,8.855769451088236e-09
1982,3.7245013739806154e-09
1983,3.157658134966823e-09
1984,4.059305780401701e-09
1985,1.2031115659283387e-08
1986,1.0790073723399018e-08
1987,1.4054879038383206e-08
1988,4.797243047249822e-09
1989,1.2073869015694072e-08
1990,4.90378582185258e-09
1991,7.033758464558559e-09
1992,4.958949695321735e-09
1993,1.4401939196773128e-08
1994,2.1099706426497278e-09
1995,3.253470381991974e-09
1996,4.804283193493575e-09
1997,4.794894259418925e-09
1998,1.5734826774860267e-08
1999,6.8553016596695215e-09
2000,7.068850393920911e-09
2001,8.324302136486494e-09
2002,9.200564754507923e-09
2003,5.8336921959778465e-09
2004,4.845270407116686e-09
2005,1.4862373554080932e-08
2006,5.7650457740976435e-09
2007,6.391167151065247e-09
2008,2.9802078582719105e-09
2009,4.76819250749827e-09
2010,8.030448306328708e-09
2011,5.7359579308524644e-09
2012,6.127654827992046e-09
2013,6.136075203500013e-09
2014,8.87832563023494e-09
2015,6.206410940734486e-09
2016,7.45682449121432e-09
2017,6.289028409156572e-09
2018,1.4456214003644163e-08
2019,7.1427654901867754e-09
