year,souvenirs_NOUN heureux_ADJ
1875,3.9478538382820005e-08
1876,1.3301232115736639e-08
1877,2.288381928394756e-08
1878,1.3285995414946683e-08
1879,2.2604503935319542e-08
1880,1.5402831010646878e-08
1881,1.8825771164188154e-08
1882,2.3293848627758962e-08
1883,2.0853818227806187e-08
1884,2.970763546272792e-08
1885,1.5469526104539e-08
1886,4.5174246565693466e-08
1887,9.79338704576449e-09
1888,3.6775563927449184e-08
1889,1.8795409673089125e-08
1890,2.0974036729626278e-08
1891,2.932141285327816e-08
1892,3.322311648012999e-08
1893,2.1554457885208933e-08
1894,2.3315696040526745e-08
1895,3.671354775747204e-08
1896,2.240870955461105e-08
1897,3.554295346930303e-08
1898,2.2633418694795182e-08
1899,2.984892333302014e-08
1900,2.8550792507964218e-08
1901,2.4031576728589243e-08
1902,2.455141867585553e-08
1903,3.888158772724637e-08
1904,3.0635362691100454e-08
1905,2.5803794490020238e-08
1906,4.3725569609520676e-08
1907,2.7771354993433306e-08
1908,2.8486056180554442e-08
1909,3.0805508699494055e-08
1910,3.473697773870299e-08
1911,2.9262057443801837e-08
1912,4.271725434490392e-08
1913,3.234823886533178e-08
1914,2.678697441638178e-08
1915,2.238344798399794e-08
1916,4.8344833913915863e-08
1917,4.386569685266295e-08
1918,4.5945505178224266e-08
1919,2.5781975665495338e-08
1920,2.877448102012181e-08
1921,2.120369263503008e-08
1922,3.172512208493572e-08
1923,4.352538729435196e-08
1924,3.351822286390416e-08
1925,3.1894715091240755e-08
1926,3.6782257240020044e-08
1927,4.7941668412931904e-08
1928,3.770593604013328e-08
1929,6.015819309368453e-08
1930,2.8359729231652864e-08
1931,3.9918746530531735e-08
1932,4.931791419693354e-08
1933,3.326492148403304e-08
1934,5.152079296522061e-08
1935,1.6755597798123745e-08
1936,1.9399543305098632e-08
1937,4.1550689555691633e-08
1938,3.7599123370313237e-08
1939,3.976452944698394e-08
1940,3.296517903095264e-08
1941,2.6563522936839945e-08
1942,6.371844563091145e-08
1943,4.354852856103264e-08
1944,2.8918675454292497e-08
1945,5.664110513947662e-08
1946,5.568441707737293e-08
1947,4.887557025767819e-08
1948,6.631851512395315e-08
1949,3.828633210467558e-08
1950,5.8494488364146946e-08
1951,4.477788806411809e-08
1952,3.374337076422762e-08
1953,3.878577770066727e-08
1954,4.593092128857279e-08
1955,4.786660090516648e-08
1956,3.1396109267944894e-08
1957,4.064117292701397e-08
1958,3.308897317255699e-08
1959,4.8829711829512235e-08
1960,4.360124861157999e-08
1961,3.682524507553353e-08
1962,7.800606294239287e-08
1963,4.267595032914073e-08
1964,4.319617546988397e-08
1965,4.5965163508743245e-08
1966,4.652822749307006e-08
1967,4.9796388235101574e-08
1968,4.671072617590255e-08
1969,4.360087380028688e-08
1970,5.242546452510766e-08
1971,5.498085187127799e-08
1972,4.2580218462262565e-08
1973,4.079770793419257e-08
1974,4.950503129652617e-08
1975,4.683413612482923e-08
1976,4.34228029089212e-08
1977,2.762087519814216e-08
1978,4.3366316759829715e-08
1979,4.0378615340230795e-08
1980,5.628299293292116e-08
1981,6.388805040558054e-08
1982,6.393727369768953e-08
1983,6.189009615908958e-08
1984,4.987147161905625e-08
1985,4.932757624587225e-08
1986,4.555809074435757e-08
1987,6.721898704320495e-08
1988,5.516829648666288e-08
1989,6.25645946161768e-08
1990,6.211462200145235e-08
1991,5.3925478304961416e-08
1992,6.832330434747291e-08
1993,6.813225361668174e-08
1994,7.173900185009074e-08
1995,7.808328961189659e-08
1996,8.327423661746991e-08
1997,8.151320685101382e-08
1998,8.868720025034804e-08
1999,7.90644776316185e-08
2000,8.394259953803385e-08
2001,9.069108397596892e-08
2002,9.112940979605355e-08
2003,8.250507743667868e-08
2004,8.853630151239855e-08
2005,1.0493736279926225e-07
2006,1.013000949789955e-07
2007,1.2622554468322278e-07
2008,1.460301750633164e-07
2009,1.3637030638058434e-07
2010,1.8044888872026377e-07
2011,1.999937360164239e-07
2012,1.8076581220771715e-07
2013,2.1085785806285173e-07
2014,2.0788273158434123e-07
2015,2.2697732526832937e-07
2016,2.2991874182309857e-07
2017,2.757109935913604e-07
2018,2.829287539807268e-07
2019,2.737209976455546e-07
