year,candidats_NOUN heureux_ADJ
1922,2.951174193910333e-09
1923,5.307974060286824e-09
1924,3.867487219366694e-09
1925,6.598906754362588e-09
1926,1.114613823460786e-08
1927,1.4493992672726108e-08
1928,7.998228745975666e-09
1929,1.2254447234738564e-08
1930,2.10072066408884e-08
1931,7.983749661377715e-09
1932,4.383814644626227e-09
1933,2.2941324395731044e-09
1934,1.1981580172459871e-09
1935,8.377798899061872e-09
1936,8.487299751891442e-09
1937,6.295559185076627e-09
1938,1.2965214457594243e-09
1939,2.141167065872196e-08
1940,1.5214697057785997e-08
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,1.2528993842408909e-08
1947,9.536696765621855e-09
1948,5.435944139264848e-09
1949,1.0798709482173763e-08
1950,8.508289184305795e-09
1951,9.595261474260042e-09
1952,7.381362632230548e-09
1953,5.386913581872932e-09
1954,4.886268278880834e-09
1955,9.385607846468247e-09
1956,1.3953826538681824e-08
1957,5.301022731885041e-09
1958,9.926692356998501e-09
1959,3.100299128533379e-09
1960,8.997083078554624e-09
1961,3.47407969059077e-09
1962,5.0735651235811474e-09
1963,5.1728425987107585e-09
1964,3.6503808864551957e-09
1965,3.2832261354087677e-09
1966,3.8773522170743036e-09
1967,0.0
1968,3.1439910674890825e-09
1969,4.087581828571274e-09
1970,5.978342709767048e-09
1971,2.569198631618974e-09
1972,6.669190977248718e-09
1973,9.37244681864513e-09
1974,6.750686232237513e-09
1975,9.138368284311582e-09
1976,4.570821499072508e-09
1977,1.7630346071939584e-09
1978,2.970295565063452e-09
1979,4.681578680276743e-09
1980,6.253665585376211e-09
1981,8.223214109648325e-09
1982,6.828252629986764e-09
1983,6.315316269933646e-09
1984,3.479405208395292e-09
1985,1.2031116103372597e-09
1986,5.994485352545098e-09
1987,4.277571630240118e-09
1988,5.99655392008458e-09
1989,2.1952488715726304e-09
1990,3.2691906959314565e-09
1991,1.7584396161396398e-09
1992,2.2039776670368383e-09
1993,2.7696036575264316e-09
1994,5.274926606624319e-10
1995,2.1689803286761844e-09
1996,4.270473752399084e-09
1997,1.917957792585412e-09
1998,4.291316191284977e-09
1999,3.1991407301035224e-09
2000,4.418031274155965e-09
2001,1.7524847129024579e-09
2002,4.381221607729913e-09
2003,2.083461403401543e-09
2004,3.0833537945085254e-09
2005,0.0
2006,4.529678854225949e-09
2007,5.592271090648637e-09
2008,2.554463751636149e-09
2009,3.814554005998616e-09
2010,9.447586046817946e-10
2011,3.82397197240536e-10
2012,3.744677901096338e-09
2013,1.6734750252211938e-09
2014,1.5158115873603606e-09
2015,8.866301581811342e-10
2016,2.278474076078396e-09
2017,1.0062445321423752e-09
2018,1.8070267504555204e-09
2019,1.02039510174734e-09
