year,des_DET heureux_ADJ
1869,1.2697149998075474e-08
1870,2.121598008386627e-08
1871,1.3807530230280918e-08
1872,1.0280476914203973e-08
1873,1.2570609442263958e-08
1874,2.6288279997288555e-08
1875,1.0870901512305409e-08
1876,6.04601479992084e-09
1877,1.4843558382438005e-08
1878,9.058632954861423e-09
1879,1.7717043832021773e-08
1880,2.3104245627791897e-08
1881,1.324776466304911e-08
1882,1.6638463051776853e-08
1883,1.0110942305630033e-08
1884,1.1883054540362536e-08
1885,1.160214413431504e-08
1886,1.871504551331782e-08
1887,1.8933882017790893e-08
1888,1.2047167707862627e-08
1889,1.8795409673089125e-08
1890,2.6217545467943637e-08
1891,7.0116419337296065e-09
1892,1.3790726782758611e-08
1893,2.2170299374124625e-08
1894,8.822155450616265e-09
1895,1.625025980445116e-08
1896,7.66613794667137e-09
1897,2.7385553380554484e-08
1898,1.1882545614128048e-08
1899,1.713549302451156e-08
1900,5.710158568206225e-09
1901,1.2854099118442264e-08
1902,9.820567470342212e-09
1903,2.1600881083827517e-08
1904,2.364835083312755e-08
1905,8.257214467732865e-09
1906,2.006231980544726e-08
1907,1.2342823652033985e-08
1908,9.822778146428846e-09
1909,1.6502950117569526e-08
1910,1.336037680488289e-08
1911,1.0640748726586935e-08
1912,1.0418842677495377e-08
1913,6.893886794756554e-09
1914,1.9420557606508737e-08
1915,9.424609537234119e-09
1916,1.3184954461564757e-08
1917,1.2063066989753679e-08
1918,5.743188147278033e-09
1919,1.3811772170413406e-08
1920,2.1959472462640406e-08
1921,1.1359120755116692e-08
1922,1.3280283539529592e-08
1923,1.9108707505210987e-08
1924,1.675911143195208e-08
1925,7.698724324711748e-09
1926,4.458455382660986e-09
1927,2.2298449309232637e-08
1928,2.0566874425753667e-08
1929,8.912325100141061e-09
1930,1.3654684494213143e-08
1931,7.983749661377715e-09
1932,1.3151444377967891e-08
1933,1.4911860191091364e-08
1934,9.585264137967897e-09
1935,4.787313656606784e-09
1936,2.424942913137329e-09
1937,5.0364472592434595e-09
1938,3.8895642262559704e-09
1939,9.176430282309411e-09
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,6.068423541449874e-09
1943,0.0
1944,0.0
1945,0.0
1946,8.352662561605939e-09
1947,1.7881307101674793e-08
1948,4.348755133776194e-09
1949,3.9268033269479474e-09
1950,5.317680518146517e-09
1951,3.1984206394497505e-09
1952,6.326882129314981e-09
1953,5.386913581872932e-09
1954,1.9545072227344917e-09
1955,6.569925492527773e-09
1956,1.1337483840634377e-08
1957,5.301022731885041e-09
1958,8.272243334772611e-09
1959,1.5501495642666896e-09
1960,1.038124963770315e-08
1961,2.08444772553662e-09
1962,5.7077609305622445e-09
1963,8.405868889838075e-09
1964,9.734349326606662e-09
1965,9.849678406226303e-09
1966,7.754704434148607e-09
1967,9.367637332502454e-09
1968,3.1439910674890825e-09
1969,8.629339909305145e-09
1970,4.598724956395017e-09
1971,5.652237344833111e-09
1972,7.69522046084603e-09
1973,8.269805285010534e-09
1974,1.6876715580593782e-09
1975,6.8537762132336866e-09
1976,2.285410749536254e-09
1977,4.11374712072643e-09
1978,3.5643548113029055e-09
1979,8.192762912528906e-09
1980,6.822181042309694e-09
1981,8.223214109648325e-09
1982,1.2415004579935385e-09
1983,4.4207211225000265e-09
1984,5.799008495621649e-10
1985,4.812446441349039e-09
1986,1.1988970927134801e-09
1987,2.4443267410134695e-09
1988,1.1993107618124554e-09
1989,7.134558721588746e-09
1990,5.448650863826288e-09
1991,5.8614650910726596e-09
1992,3.856960972825618e-09
1993,2.2156829704300662e-09
1994,7.384897138251745e-09
1995,4.880205572987961e-09
1996,2.135236876199542e-09
1997,5.753873377756236e-09
1998,4.7681290027412615e-09
1999,2.7421207526856506e-09
2000,3.5344251969604557e-09
2001,5.695575122643959e-09
2002,3.066854992184176e-09
2003,4.166922806803086e-09
2004,3.0833537945085254e-09
2005,2.251874686720612e-09
2006,6.58862386870851e-09
2007,1.997239706952314e-09
2008,3.405951742863067e-09
2009,3.337734755248789e-09
2010,5.196172381261022e-09
2011,7.647943611743813e-09
2012,6.127654827992046e-09
2013,5.857162754807632e-09
2014,6.496335469563519e-09
2015,7.536356427806368e-09
2016,8.285359953674742e-09
2017,6.792150397672003e-09
2018,6.195520096952123e-09
2019,7.652963596171958e-09
