year,aux_ADP heureux_ADJ
1990,5.394164603877982e-08
1991,5.2167038688821776e-08
1992,4.9589496731172744e-08
1993,5.760775856344935e-08
1994,4.4309384494845006e-08
1995,6.39849178085683e-08
1996,4.163711841975726e-08
1997,5.562077676213306e-08
1998,5.81711777636329e-08
1999,4.7987112783420827e-08
2000,4.329671032810012e-08
2001,6.002260199977627e-08
2002,6.002273345018239e-08
2003,5.875361441809446e-08
2004,5.0214618962929336e-08
2005,5.179312112524315e-08
2006,5.682688203334507e-08
2007,6.19144338021016e-08
2008,5.6198202758039884e-08
2009,6.150968090423703e-08
2010,5.00722054930236e-08
2011,5.468279781761787e-08
2012,6.229782339994827e-08
2013,6.331314095220364e-08
2014,6.12820998391328e-08
2015,1.1415363287969882e-07
2016,8.43035425912575e-08
2017,6.439964872484438e-08
2018,6.427852072832252e-08
2019,1.0305990261194609e-07
