year,vingt - deux hommes
1908,2.5496863509388845e-08
1909,3.0936933015368595e-08
1910,2.477310478976591e-08
1911,2.4074422455555577e-08
1912,1.4944076198730727e-08
1913,2.3404400195659036e-08
1914,2.0682461077115022e-08
1915,3.5067863279891753e-08
1916,3.869875575546189e-08
1917,2.5328148467451683e-08
1918,8.846387622440943e-09
1919,1.4188924701841188e-08
1920,2.1692778573445537e-08
1921,9.192655525680493e-09
1922,8.143886454092808e-09
1923,2.8155394460327443e-08
1924,1.4249056157211726e-08
1925,9.748148954713542e-09
1926,8.641992010893773e-09
1927,1.481121647550765e-08
1928,1.897747670120964e-08
1929,1.4811152304616826e-08
1930,9.300634928877116e-09
1931,2.1468527844348273e-08
1932,1.6980347794515183e-08
1933,1.9031967113392056e-08
1934,2.7875769248453253e-08
1935,1.5916487683398373e-08
1936,9.395605182760391e-09
1937,9.763313713051502e-09
1938,5.737644581671475e-09
1939,5.082652521082309e-09
1940,1.4073074927622997e-08
1941,2.6247708451165863e-08
1942,1.0093186730841808e-08
1943,1.6056864282631977e-08
1944,3.1945054601578704e-08
1945,2.1626657797924054e-08
1946,1.0778151704471384e-08
1947,1.1851045478294964e-08
1948,9.625652386269223e-09
1949,1.9468934464583754e-08
1950,1.2939040061610285e-08
1951,1.2978965457932645e-08
1952,2.5696620720161434e-08
1953,1.4289913252696351e-08
1954,8.64537863520809e-09
1955,1.7659303797046277e-08
1956,1.350564760027595e-08
1957,9.778776677293877e-09
1958,1.9212729185369426e-08
1959,6.00209082435299e-09
1960,7.653365940996082e-09
1961,2.2237574559547113e-08
1962,2.4479902549501276e-08
1963,1.783045749936818e-08
1964,1.6778283096208213e-08
1965,1.810158956061514e-08
1966,2.2609126626438325e-08
1967,2.5529866221063457e-08
1968,2.618695194023246e-08
1969,2.3965155082628087e-08
1970,2.2760448414871348e-08
1971,1.5865730618180862e-08
1972,1.9785514893122524e-08
1973,2.132648502239931e-08
1974,2.4877159554570483e-08
1975,1.5788917284709214e-08
1976,2.1458650745209695e-08
1977,1.5587186319443447e-08
1978,1.7013021380574145e-08
1979,2.6409925801829104e-08
1980,2.3168169605014555e-08
1981,2.2281043232652564e-08
1982,1.9092399661246873e-08
1983,1.8743214980077028e-08
1984,1.592032883301897e-08
1985,1.5860192492667124e-08
1986,1.5800504460372622e-08
1987,1.3427358780404575e-08
1988,1.7781696726171248e-08
1989,1.3863955039550291e-08
1990,6.566994947831972e-09
1991,1.0287880214399081e-08
1992,1.0863064114907672e-08
1993,2.1231249536235453e-08
1994,1.616543610083454e-08
1995,2.0158117064461578e-08
1996,9.333651185272629e-09
1997,1.8843264948387173e-08
1998,1.300639984602725e-08
1999,1.3958399935898314e-08
2000,1.7824204057159676e-08
2001,1.0032680464178156e-08
2002,2.386672992571448e-08
2003,2.4504834605920678e-08
2004,1.9186614519384193e-08
2005,2.8939119434134852e-08
2006,1.4359739175517916e-08
2007,1.8324701478444894e-08
2008,1.7200700419550685e-08
2009,2.6600053049108396e-08
2010,1.9154391850406682e-08
2011,1.2169636631753633e-08
2012,2.5122085745010736e-08
2013,2.741372950865184e-08
2014,2.4909613483004023e-08
2015,1.6424490989486173e-08
2016,3.2782579539869516e-08
2017,2.3706668184075852e-08
2018,1.9195459222132172e-08
2019,2.3793009451544833e-08
