year,vingt - six pages
1926,1.4814844129240612e-08
1927,1.851402053887341e-08
1928,7.590990280803567e-09
1929,2.221672801283603e-08
1930,1.2788373027206035e-08
1931,1.38914009184532e-08
1932,3.638645962311671e-08
1933,3.045114738142729e-08
1934,2.1238681924273806e-08
1935,2.5201103426297777e-08
1936,3.221350297621939e-08
1937,1.9526627426103005e-08
1938,1.147528916334295e-08
1939,1.0165305042164618e-08
1940,2.533153420358758e-08
1941,9.842890946742955e-09
1942,2.691516387542947e-08
1943,1.284549089319853e-08
1944,3.5494505112865227e-09
1945,1.6820735027067713e-08
1946,1.0778151704471384e-08
1947,2.7652438561176496e-08
1948,1.3235271545397609e-08
1949,1.2979289643055836e-08
1950,1.176276409609045e-08
1951,2.1238307112980692e-08
1952,3.971295980953471e-08
1953,2.8579826505392703e-08
1954,1.6210084718970563e-08
1955,2.285321798467521e-08
1956,2.7975983751815647e-08
1957,9.778776899338482e-09
1958,2.6531863484002827e-08
1959,4.287207922004654e-09
1960,1.6072068120820404e-08
1961,1.5336258485376675e-08
1962,1.398851562361969e-08
1963,2.7102296296099837e-08
1964,1.610715116839856e-08
1965,2.0515135368270876e-08
1966,2.933075926581097e-08
1967,2.0641168829715895e-08
1968,2.6681044928977826e-08
1969,1.9970962328308417e-08
1970,1.770257185285118e-08
1971,2.77650293867282e-08
1972,2.2612016870038332e-08
1973,1.6451860318511535e-08
1974,1.8657869471638833e-08
1975,1.5788917284709214e-08
1976,1.7671830998544635e-08
1977,1.9483982871548733e-08
1978,1.4395633296526711e-08
1979,3.091893674422863e-08
1980,1.7532668761255366e-08
1981,1.3925652186941306e-08
1982,2.2501757790394095e-08
1983,1.6660635537846247e-08
1984,1.7193954704453063e-08
1985,1.8503559573446182e-08
1986,2.1067339872615776e-08
1987,1.3427358891426877e-08
1988,1.3171627066821401e-08
1989,1.0850052134525612e-08
1990,1.0148992313219196e-08
1991,1.2859850073709822e-08
1992,1.870861021657788e-08
1993,3.4576607299552364e-08
1994,2.1938806049615067e-08
1995,1.4822145288917454e-08
1996,1.9834008213592824e-08
1997,1.779641611854288e-08
1998,2.8614079994326858e-08
1999,2.09376000981365e-08
2000,2.8904115323413748e-08
2001,1.0988173926307354e-08
2002,1.5752043225347734e-08
2003,1.6336556996066065e-08
2004,2.0145944912286495e-08
2005,2.0600728678488167e-08
2006,2.0193383687416855e-08
2007,1.7452096656711547e-08
2008,1.5806048803135297e-08
2009,1.0431393748788764e-08
2010,1.0871412103874434e-08
2011,1.5946421072499106e-08
2012,1.2373565283496646e-08
2013,1.4784933277667278e-08
2014,1.2215291445016874e-08
2015,1.0786233239912235e-08
2016,8.023708281124087e-09
2017,1.0877177769597068e-08
2018,8.881480995093227e-09
2019,1.8411258295714106e-08
