year,étions_VERB heureux_ADJ
1875,8.067353007845668e-08
1876,1.3119851871579158e-07
1877,7.731019735501832e-08
1878,7.609251895246416e-08
1879,9.102894438228759e-08
1880,6.802917340564818e-08
1881,9.62206030408197e-08
1882,9.916524135178406e-08
1883,7.899173937175874e-08
1884,9.04432511106279e-08
1885,9.861822292123179e-08
1886,7.873225627008651e-08
1887,8.161156017649773e-08
1888,8.559830178000993e-08
1889,9.397705014180247e-08
1890,7.996351314432104e-08
1891,6.437961985739094e-08
1892,9.90424950941815e-08
1893,1.0099802949525838e-07
1894,6.868678070759415e-08
1895,8.66680522904062e-08
1896,8.668632744956994e-08
1897,9.264474698511549e-08
1898,7.299277626771072e-08
1899,5.969784666604028e-08
1900,9.447716564636721e-08
1901,7.880122154801938e-08
1902,6.874397229239548e-08
1903,7.668312917985531e-08
1904,9.083116481178877e-08
1905,9.857049576567078e-08
1906,7.613392938310426e-08
1907,1.1159970370044903e-07
1908,9.429867020571692e-08
1909,7.371318133664317e-08
1910,8.069667245536039e-08
1911,8.565802289695057e-08
1912,9.11648712076385e-08
1913,7.052976513932663e-08
1914,6.562808607668558e-08
1915,1.1309531089409575e-07
1916,1.1097336738430386e-07
1917,8.224818515145671e-08
1918,1.1256648946300629e-07
1919,1.5285027643585636e-07
1920,1.0071067890748964e-07
1921,5.6038331308627676e-08
1922,8.705963949751094e-08
1923,1.0509788950230359e-07
1924,7.219309594574952e-08
1925,7.808706214973427e-08
1926,9.585679094925581e-08
1927,8.807887752482202e-08
1928,7.655447831211859e-08
1929,7.01845621620123e-08
1930,6.827342247106571e-08
1931,7.983749839013399e-08
1932,9.5347971296178e-08
1933,7.914756849913829e-08
1934,7.7880272897346e-08
1935,7.540018742702159e-08
1936,7.759817322039453e-08
1937,1.0198805711070236e-07
1938,1.0631475788613898e-07
1939,5.8117393564316444e-08
1940,7.100192078723921e-08
1941,1.121570960549434e-07
1942,9.102635090130207e-08
1943,9.00002916637277e-08
1944,7.711646787811333e-08
1945,9.149717072887142e-08
1946,1.266820532919155e-07
1947,9.536697120893223e-08
1948,8.045196864259196e-08
1949,1.0896879132360482e-07
1950,9.997239658332546e-08
1951,8.529121231504178e-08
1952,7.065018792218325e-08
1953,1.0773827341381548e-07
1954,9.7725362024903e-08
1955,1.0324168897568597e-07
1956,9.68046691696145e-08
1957,7.774833221674271e-08
1958,8.354965785883905e-08
1959,8.448315469422596e-08
1960,1.0934916616633927e-07
1961,7.920901623492682e-08
1962,9.703193626364737e-08
1963,9.763740393964326e-08
1964,1.08294635481343e-07
1965,9.849678406226303e-08
1966,7.588532469071652e-08
1967,1.0945345252366678e-07
1968,1.1138711641933696e-07
1969,1.0809383610421719e-07
1970,9.933246047921784e-08
1971,8.221435621180717e-08
1972,8.977757204320369e-08
1973,9.537842515783268e-08
1974,7.707033233828042e-08
1975,8.967023745753977e-08
1976,7.88466678613986e-08
1977,7.228441489814941e-08
1978,8.138610496644105e-08
1979,9.538716483348253e-08
1980,8.357171310535705e-08
1981,8.982280519376218e-08
1982,6.704102162302661e-08
1983,7.388919698314567e-08
1984,1.1192086191158523e-07
1985,1.040691515186154e-07
1986,9.41134246090769e-08
1987,8.738468437741176e-08
1988,1.0254107252194444e-07
1989,9.110282661595193e-08
1990,8.772327930728352e-08
1991,9.788647048480925e-08
1992,9.697501468508563e-08
1993,8.862731704084581e-08
1994,1.060260217400355e-07
1995,1.1007575295707284e-07
1996,9.181518834111557e-08
1997,8.534912154800622e-08
1998,1.0156115592963033e-07
1999,1.1288396706277126e-07
2000,1.1000898325619346e-07
2001,9.594853622729715e-08
2002,1.2398857052176027e-07
2003,1.3500830675639008e-07
2004,1.4271523696152144e-07
2005,1.2790648895588674e-07
2006,1.2106596614103182e-07
2007,1.1943492950194923e-07
2008,1.596539931369989e-07
2009,1.5448944168383605e-07
2010,1.9131361739255226e-07
2011,2.0878887596609275e-07
2012,2.260423741518025e-07
2013,2.448851716962963e-07
2014,2.646173982157052e-07
2015,2.595609771560703e-07
2016,2.585032348179084e-07
2017,2.633844928823237e-07
2018,3.038386182652175e-07
2019,2.7882296649295313e-07
