year,serions_VERB heureux_ADJ
1930,3.445181846473133e-07
1931,3.8664160229018307e-07
1932,3.693363908041647e-07
1933,2.798841478579561e-07
1934,2.9474688290065387e-07
1935,2.609085925087129e-07
1936,2.897806723467511e-07
1937,3.739561975635297e-07
1938,3.1116513810047763e-07
1939,2.8905756721542275e-07
1940,1.7750480196809804e-07
1941,3.010532623193285e-07
1942,1.9722376976005762e-07
1943,2.29355578085233e-07
1944,2.4741532911320974e-07
1945,2.1131489802428405e-07
1946,2.9373529741860693e-07
1947,3.4332109066781413e-07
1948,3.261566234868951e-07
1949,2.660409279542364e-07
1950,2.765193869436189e-07
1951,3.0918064908291853e-07
1952,2.6151113274863746e-07
1953,2.8766118020939757e-07
1954,3.0294862085611385e-07
1955,2.9470808726728137e-07
1956,2.5727368324623967e-07
1957,2.3942951088429254e-07
1958,2.2169612634570512e-07
1959,2.5654975388533785e-07
1960,2.2561916068752907e-07
1961,2.1122404803008976e-07
1962,1.8581931726657785e-07
1963,2.075603049433994e-07
1964,2.16589270962686e-07
1965,2.5116679580605705e-07
1966,2.0383795629186352e-07
1967,2.0214375240357185e-07
1968,2.0346114126823522e-07
1969,2.4797998321446357e-07
1970,2.6304707034796593e-07
1971,1.983421498152893e-07
1972,2.1392712312717777e-07
1973,1.6870403385382815e-07
1974,1.7945573915767454e-07
1975,1.5935029296088032e-07
1976,1.6340686670446303e-07
1977,2.0980111514745658e-07
1978,1.556434909844029e-07
1979,1.4805492298819445e-07
1980,1.6828046511818684e-07
1981,1.530783038106165e-07
1982,1.4463479658388678e-07
1983,1.3577928825725394e-07
1984,1.5773302664001676e-07
1985,1.2933449511365325e-07
1986,1.4266875325574802e-07
1987,1.0755037749277108e-07
1988,1.0493969426761396e-07
1989,1.4872810538690828e-07
1990,1.0679355710863092e-07
1991,1.1254013543293695e-07
1992,9.146507551349714e-08
1993,8.696555653386895e-08
1994,1.7090762582938623e-07
1995,1.1007575295707284e-07
1996,8.807852225345414e-08
1997,1.1987236803179258e-07
1998,9.58393968630844e-08
1999,1.1516907250097574e-07
2000,8.968603992798307e-08
2001,8.630987480273689e-08
2002,6.878517666564221e-08
2003,9.542253565086867e-08
2004,9.02982222328319e-08
2005,9.052536853459969e-08
2006,1.3959646594230435e-07
2007,1.0185922860728169e-07
2008,1.2431723916961346e-07
2009,1.263571078879977e-07
2010,1.3273857746298745e-07
2011,1.2389669734602649e-07
2012,1.1302118707590125e-07
2013,1.0877587897084595e-07
2014,1.1173697345157052e-07
2015,1.2279828354166966e-07
2016,1.302872902897434e-07
2017,9.106513232381985e-08
2018,1.2958962258835527e-07
2019,1.0280480466917652e-07
