year,deux_DET heureux_ADJ
1907,2.0571373937627868e-08
1908,1.6698722404839828e-08
1909,1.2102163438054703e-08
1910,2.8323999146095957e-08
1911,1.0108710868372839e-08
1912,1.66701485393439e-08
1913,1.484837142129436e-08
1914,1.1384464038144415e-08
1915,1.295883844676382e-08
1916,8.789969641043172e-09
1917,9.869782324756216e-09
1918,2.2972752589112133e-09
1919,2.3940405213807026e-08
1920,1.0601124422748853e-08
1921,1.6660044011018726e-08
1922,2.5084981203349344e-08
1923,8.492758496458919e-09
1924,1.6759112098085893e-08
1925,2.4195991876752032e-08
1926,1.89484357093761e-08
1927,1.895368229032357e-08
1928,2.0566874425753667e-08
1929,1.2254447234738564e-08
1930,2.100720719599991e-08
1931,2.2810713318222042e-08
1932,1.9727165900818022e-08
1933,1.605892663292252e-08
1934,1.0783422155213884e-08
1935,1.196828414151696e-08
1936,1.2124715009775855e-08
1937,1.1332006222275481e-08
1938,2.5930428915188486e-08
1939,4.588215141154706e-09
1940,2.028626333583361e-08
1941,1.1806010391524069e-08
1942,1.8205270180260413e-08
1943,2.322588166236983e-08
1944,1.2852744646352221e-08
1945,2.178504043826024e-09
1946,1.2528993842408909e-08
1947,1.311295849681926e-08
1948,1.0871887834440486e-09
1949,1.3743811422273211e-08
1950,4.2541445921528975e-09
1951,4.264560704569931e-09
1952,1.2653764258629963e-08
1953,1.1851209791302608e-08
1954,7.818028668893362e-09
1955,9.385608290557457e-09
1956,9.593255967388359e-09
1957,5.301022731885041e-09
1958,4.1361216673863055e-09
1959,1.0851046838844525e-08
1960,2.2146666722733244e-08
1961,1.111705483225478e-08
1962,8.244543714397423e-09
1963,1.4225316924409981e-08
1964,1.7035111099517053e-08
1965,1.4227312938874803e-08
1966,1.495550172592175e-08
1967,6.409436092980059e-09
1968,1.4372531137452071e-08
1969,1.3625273354023193e-08
1970,6.898087434592526e-09
1971,1.4387512625724241e-08
1972,8.721249500354133e-09
1973,1.0475087075523248e-08
1974,3.937900228123681e-09
1975,7.996072248772634e-09
1976,9.141642887122714e-09
1977,7.052138428775834e-09
1978,1.128712323605896e-08
1979,7.607565244427406e-09
1980,5.6851505725319385e-09
1981,3.795329828193417e-09
1982,7.449002636938928e-09
1983,4.4207211225000265e-09
1984,8.698512410365566e-09
1985,9.62489254963117e-09
1986,1.1389522214244607e-08
1987,7.94406213033838e-09
1988,1.199310784016916e-08
1989,1.042743191792539e-08
1990,8.717841559757744e-09
1991,6.447611888837912e-09
1992,4.4079553340736766e-09
1993,1.2186256448387667e-08
1994,8.967375286772494e-09
1995,4.880205906054869e-09
1996,9.074756945892659e-09
1997,8.630810066634353e-09
1998,6.6753808036779105e-09
1999,1.0511462811280126e-08
2000,9.277866475088103e-09
2001,9.200544853760206e-09
2002,7.886198361006791e-09
2003,1.0000615446870142e-08
2004,6.166707589017051e-09
2005,9.45787370643103e-09
2006,1.0706514064207084e-08
2007,1.3980678170710803e-08
2008,1.3198062642771902e-08
2009,5.721831008997924e-09
2010,9.447585658239888e-09
2011,9.942326906209331e-09
2012,1.3276585275612263e-08
2013,1.6176926076472142e-08
2014,1.992209630596875e-08
2015,2.7042220018813623e-08
2016,2.6720287094050832e-08
2017,1.635147306444651e-08
2018,2.220061284807784e-08
2019,2.474458093981724e-08
