year,mariages_NOUN heureux_ADJ
1985,1.864822929409371e-08
1986,2.637573631725232e-08
1987,1.9554613928107756e-08
1988,1.798966131616453e-08
1989,1.4269117443177493e-08
1990,2.8332985346768425e-08
1991,1.875668864670388e-08
1992,1.1570882918476855e-08
1993,1.3294097656046944e-08
1994,1.318731612798274e-08
1995,1.4098372247417501e-08
1996,1.7615704450690828e-08
1997,1.2466725429760572e-08
1998,1.5258013186247865e-08
1999,1.6452723627935484e-08
2000,1.2370488633450805e-08
2001,2.2344180367062094e-08
2002,8.762443215459825e-09
2003,1.8751152852658493e-08
2004,1.277389466425305e-08
2005,1.0358624180639708e-08
2006,1.5647982465338828e-08
2007,1.7975157362570826e-08
2008,2.2564430490756848e-08
2009,1.573503527474429e-08
2010,2.6925620510986903e-08
2011,1.7207873320712608e-08
2012,2.655317032917992e-08
2013,2.7333426189102283e-08
2014,2.793424336289263e-08
2015,2.704221985228017e-08
2016,3.12772351629409e-08
2017,2.4652990759932436e-08
2018,2.7621693377000156e-08
2019,2.4999680270365587e-08
