year,ses_DET heureux_ADJ
1888,1.2047168151951837e-07
1889,1.5036328893103246e-07
1890,1.3370948848123732e-07
1891,1.2684698003084804e-07
1892,1.2348969491426942e-07
1893,1.1885743611550481e-07
1894,1.4997663644322756e-07
1895,1.3902999640436065e-07
1896,1.2206850308338346e-07
1897,1.369277704554861e-07
1898,1.1882545347674522e-07
1899,1.111043275159318e-07
1900,9.863000782761588e-08
1901,1.2351113287678572e-07
1902,1.1735578198113217e-07
1903,1.1934486465747796e-07
1904,1.4350249610828314e-07
1905,1.3469580872893516e-07
1906,1.3734972759138486e-07
1907,9.411403278924979e-08
1908,1.3506320528655635e-07
1909,1.2047153941097122e-07
1910,1.2344988631340925e-07
1911,1.1917637721126084e-07
1912,1.0627219104719643e-07
1913,1.3416563660051395e-07
1914,1.5134640873881722e-07
1915,5.890380805340101e-08
1916,1.4613325149959167e-07
1917,1.1076088457517841e-07
1918,1.8378201716018339e-07
1919,9.852397542253755e-08
1920,8.93523313116873e-08
1921,8.027112019526328e-08
1922,9.960213054327482e-08
1923,1.337609516482985e-07
1924,1.482536862162931e-07
1925,1.2317959763308295e-07
1926,1.2260751636183898e-07
1927,1.0257287208492727e-07
1928,1.0283436813196545e-07
1929,8.800921369456205e-08
1930,1.2604324384213328e-07
1931,1.1405356392657495e-07
1932,8.548438756861287e-08
1933,9.520649979499751e-08
1934,7.907843091459199e-08
1935,9.335261452747545e-08
1936,1.1397231514109762e-07
1937,8.436048826165887e-08
1938,8.038432619539293e-08
1939,7.647025235257843e-08
1940,8.368083825871508e-08
1941,7.969057280732272e-08
1942,6.978687139280737e-08
1943,4.935499831049128e-08
1944,7.390327994016843e-08
1945,7.406913615781718e-08
1946,1.0162405850167033e-07
1947,8.702235554380877e-08
1948,8.153915898034825e-08
1949,7.166416082782234e-08
1950,8.295581910289229e-08
1951,7.676208957363428e-08
1952,7.381363020808607e-08
1953,6.572034605412114e-08
1954,6.058972701339371e-08
1955,6.006788932921836e-08
1956,7.325758666354432e-08
1957,3.8874166108371355e-08
1958,5.625125593100577e-08
1959,4.882971238462375e-08
1960,5.6750832089225156e-08
1961,6.461788365497156e-08
1962,6.278536873738361e-08
1963,4.4615765748545755e-08
1964,3.954579586018525e-08
1965,5.1437209436233644e-08
1966,4.985167123550127e-08
1967,7.4941097327752e-08
1968,9.791286337268446e-08
1969,7.811823699022113e-08
1970,5.978342443313522e-08
1971,6.422996534638514e-08
1972,6.361381821307077e-08
1973,5.1824114999377e-08
1974,4.2754343620998725e-08
1975,4.854758106631607e-08
1976,3.370980822259284e-08
1977,3.349765764770751e-08
1978,4.1584139021111355e-08
1979,3.33562483190164e-08
1980,3.240535884074802e-08
1981,2.9097527498578302e-08
1982,5.710901973543514e-08
1983,2.5892795463278162e-08
1984,4.059305780401701e-08
1985,4.090579608373446e-08
1986,3.656636154980575e-08
1987,4.827545296848257e-08
1988,3.2381390013824785e-08
1989,4.2807353106688595e-08
1990,2.0704874259536155e-08
1991,2.7548886116779414e-08
1992,3.8569610227856543e-08
1993,3.6558769622718756e-08
1994,3.9034457333109174e-08
1995,2.982348029645365e-08
1996,3.042712481970966e-08
1997,3.1166815128713665e-08
1998,3.3376905905768695e-08
1999,4.250287100049377e-08
2000,3.755326716259333e-08
2001,3.242096777156256e-08
2002,2.8916062155825983e-08
2003,1.916784508892988e-08
2004,1.9821561281219147e-08
2005,3.648037194547982e-08
2006,3.664922088031375e-08
2007,2.8760252845927425e-08
2008,3.491100580843565e-08
2009,3.9575998922458666e-08
2010,3.3538931631937885e-08
2011,2.4473420512372002e-08
2012,3.4382953262301896e-08
2013,3.597971226509955e-08
2014,2.9233509502013533e-08
2015,4.0341672780108695e-08
2016,6.628288162779938e-08
2017,2.264050280587071e-08
2018,2.6072814351962847e-08
2019,2.806086479845149e-08
