year,peuples_NOUN heureux_ADJ
1899,9.120504707027521e-08
1900,1.0849301190773986e-07
1901,1.011561749919565e-07
1902,1.2177504588040122e-07
1903,9.882402940419865e-08
1904,1.2361638557223387e-07
1905,1.4708162687782078e-07
1906,1.3580647095778886e-07
1907,1.3679963534185546e-07
1908,1.493062260493616e-07
1909,1.1332026050858701e-07
1910,1.1596807203417825e-07
1911,1.234326845178657e-07
1912,1.1981668635030474e-07
1913,1.1189308601888825e-07
1914,1.2455943476652465e-07
1915,1.3901299666940758e-07
1916,8.570220444426013e-08
1917,1.2392060000365746e-07
1918,9.648556442698464e-08
1919,1.2062281262714691e-07
1920,8.85951081386338e-08
1921,1.249503327471757e-07
1922,1.2837608104332432e-07
1923,8.492758185596472e-08
1924,1.0184383458788915e-07
1925,7.91868828287079e-08
1926,1.4935825698447758e-07
1927,1.1706686242618503e-07
1928,1.1768822361091225e-07
1929,9.469345685353403e-08
1930,1.03985672073037e-07
1931,1.0264820993199919e-07
1932,8.986820010381535e-08
1933,9.061823247336065e-08
1934,8.027658893183798e-08
1935,1.0053358767692089e-07
1936,6.547345776652946e-08
1937,8.184226629737168e-08
1938,7.649476430060531e-08
1939,6.882322622914216e-08
1940,9.635975373178951e-08
1941,1.2101160962174617e-07
1942,1.274368912618229e-07
1943,1.1322617154974068e-07
1944,1.0282195717081777e-07
1945,9.149717072887142e-08
1946,7.935029522343484e-08
1947,7.390939771312333e-08
1948,8.806228857238807e-08
1949,7.166416082782234e-08
1950,5.8494486587790107e-08
1951,6.396841012445975e-08
1952,6.643226413416414e-08
1953,7.002987900683877e-08
1954,6.938500973774353e-08
1955,6.10064510020436e-08
1956,7.151336234301198e-08
1957,8.481636515345059e-08
1958,6.4523497655955e-08
1959,7.363210130506559e-08
1960,7.889750164302711e-08
1961,1.0352757051634853e-07
1962,7.737186535905494e-08
1963,4.590897972889252e-08
1964,7.54412105008484e-08
1965,6.840054567192055e-08
1966,9.693380897957127e-08
1967,9.811367762679879e-08
1968,8.893003311527536e-08
1969,1.0673130812488552e-07
1970,6.668151475430761e-08
1971,9.660187494375805e-08
1972,5.3353526929811323e-08
1973,4.190034946782717e-08
1974,5.569315864040192e-08
1975,6.453972600795055e-08
1976,5.427850513495258e-08
1977,8.345030055867397e-08
1978,7.188115191958389e-08
1979,6.729769530533503e-08
1980,6.537922936367124e-08
1981,6.452060286044059e-08
1982,4.2831767022022404e-08
1983,4.294414779337785e-08
1984,3.885335786435462e-08
1985,5.0530685857808066e-08
1986,5.275147185734852e-08
1987,5.805275837822421e-08
1988,4.7372775702214653e-08
1989,5.652765877606214e-08
1990,3.923028618624258e-08
1991,4.982245427331833e-08
1992,4.683452448084324e-08
1993,4.431365790980024e-08
1994,4.800183356357124e-08
1995,5.042879425154467e-08
1996,4.537378361924027e-08
1997,4.315404866783723e-08
1998,4.625085514575744e-08
1999,6.30687744251901e-08
2000,4.1971299435950016e-08
2001,4.512648188459423e-08
2002,3.855474961511618e-08
2003,3.958576755280774e-08
2004,4.4488390582575477e-08
2005,4.368637107621254e-08
2006,3.9943531482400374e-08
2007,3.4751970912072494e-08
2008,4.6406093523465586e-08
2009,4.1960093621895567e-08
2010,3.070465481869178e-08
2011,3.5562938344169126e-08
2012,2.9616997854198246e-08
2013,2.482321315167013e-08
2014,3.356440114732351e-08
2015,3.2583657216811446e-08
2016,4.971215986082633e-08
2017,2.1634257635350096e-08
2018,3.046130631068067e-08
2019,2.5509877821239257e-08
