year,événements_NOUN heureux_ADJ
1913,1.1401427713053636e-07
1914,1.2121105896767403e-07
1915,1.3783491681351734e-07
1916,1.219608236624481e-07
1917,1.2830716400458186e-07
1918,1.9526839878380997e-07
1919,9.852397653276057e-08
1920,1.0601124245113169e-07
1921,1.0147481788180812e-07
1922,1.1362020302385645e-07
1923,1.1677543199084539e-07
1924,1.2762707513047644e-07
1925,1.4407612525246805e-07
1926,1.3375365881529433e-07
1927,1.2041162733567035e-07
1928,8.226749770301467e-08
1929,1.3034275525569683e-07
1930,9.663315125862937e-08
1931,1.0150767337790967e-07
1932,9.5347971296178e-08
1933,9.864769623391112e-08
1934,9.106000931069502e-08
1935,1.1250187270661627e-07
1936,1.3458432590596203e-07
1937,1.1961562051965302e-07
1938,1.1020432566510863e-07
1939,1.1470537941704606e-07
1940,8.621661606866837e-08
1941,1.0920559390115159e-07
1942,1.1226583751522412e-07
1943,1.451617634984359e-07
1944,9.318240046241044e-08
1945,1.2199622290154366e-07
1946,8.770295778504078e-08
1947,9.536697120893223e-08
1948,1.0219574875236503e-07
1949,9.620668350862616e-08
1950,7.444752725405124e-08
1951,8.422507136174318e-08
1952,5.5887461769543734e-08
1953,8.619061730996691e-08
1954,1.0847514886336285e-07
1955,7.41462997666531e-08
1956,9.331621697583614e-08
1957,8.65833698071583e-08
1958,7.114129374485856e-08
1959,8.448315469422596e-08
1960,7.612916874677467e-08
1961,8.337791257417848e-08
1962,8.688480335194981e-08
1963,6.918676831446646e-08
1964,8.943433726926742e-08
1965,7.551420111440166e-08
1966,7.64392282803783e-08
1967,9.762064223650668e-08
1968,9.656544364133879e-08
1969,7.221395037504408e-08
1970,7.128024037683645e-08
1971,6.577148781161668e-08
1972,1.046549940042496e-07
1973,6.726108381371887e-08
1974,6.581918654546826e-08
1975,7.253579781263397e-08
1976,7.88466678613986e-08
1977,7.757351738746365e-08
1978,7.722768913254185e-08
1979,6.086052195541924e-08
1980,7.902359300260287e-08
1981,6.199038438126081e-08
1982,6.517877437772768e-08
1983,7.641532562274733e-08
1984,8.002631801673488e-08
1985,7.579603078511354e-08
1986,1.2108860403259314e-07
1987,8.005169860325623e-08
1988,1.0014245077627493e-07
1989,9.110282661595193e-08
1990,8.608868284909477e-08
1991,1.0374793646406033e-07
1992,8.044518295946546e-08
1993,9.91518120940782e-08
1994,1.0391605087534117e-07
1995,8.730145850677218e-08
1996,1.11566123450757e-07
1997,8.534912154800622e-08
1998,9.870027639635737e-08
1999,9.734528561011757e-08
2000,1.047073467930204e-07
2001,9.726289817990619e-08
2002,1.1478800132636025e-07
2003,1.1167353619612186e-07
2004,1.1188169679599014e-07
2005,1.175478629988902e-07
2006,1.1324197402018399e-07
2007,1.1663880172818608e-07
2008,1.1111917785910919e-07
2009,1.1491344054093133e-07
2010,1.0061679489581365e-07
2011,1.319270381827664e-07
2012,1.1846799452541745e-07
2013,1.1435412972105041e-07
2014,1.1909948227639688e-07
2015,1.0395738314628034e-07
2016,1.1454510229214065e-07
2017,1.1093845841969596e-07
2018,1.332036845269613e-07
2019,1.0076401935066315e-07
