year,les_DET oeufs_NOUN
1876,1.0278224960025284e-07
1877,1.6822699777652161e-07
1878,2.143876439708592e-07
1879,1.2035370577923032e-07
1880,1.5852080514910938e-07
1881,1.2480788336155513e-07
1882,2.642187848511668e-07
1883,2.799467148095758e-07
1884,1.1618986661687813e-07
1885,1.2440076779807185e-07
1886,1.35522741750993e-07
1887,1.93909063028741e-07
1888,1.4076164656096068e-07
1889,2.506054730400109e-07
1890,1.3502035778323318e-07
1891,2.9958834346643926e-07
1892,3.3787280573349676e-07
1893,1.1269902422950118e-06
1894,2.1047141474106468e-07
1895,1.1014064926762046e-07
1896,1.4152869398653678e-07
1897,2.0684832635620154e-07
1898,1.8163319970287972e-07
1899,1.260287909587987e-07
1900,1.6092264853995175e-07
1901,1.6095568655671855e-07
1902,2.1605248967659918e-07
1903,2.65150816858295e-07
1904,2.1874724076553775e-07
1905,2.4720036384540123e-07
1906,2.3097389312276562e-07
1907,3.0497060254930375e-07
1908,2.603036168835615e-07
1909,4.692339121703526e-07
1910,2.6987960999314e-07
1911,3.89983427995233e-07
1912,4.282144366873908e-07
1913,2.837099453145697e-07
1914,4.151981181643727e-07
1915,3.2750518208501944e-07
1916,2.3293419881831312e-07
1917,3.0705989151336155e-07
1918,2.83713492699178e-07
1919,2.9649270938403305e-07
1920,3.7936880126210326e-07
1921,2.726189037294269e-07
1922,2.847883099899029e-07
1923,4.554241823662153e-07
1924,3.699896127251634e-07
1925,5.290123736845231e-07
1926,4.6813781517940356e-07
1927,4.2701530234001694e-07
1928,5.633038279162506e-07
1929,8.789780379103718e-07
1930,5.840003525214854e-07
1931,7.481913923967909e-07
1932,6.257895375227918e-07
1933,7.387106162326518e-07
1934,8.950240175664703e-07
1935,8.114496772293478e-07
1936,7.638570274082213e-07
1937,6.408879105190834e-07
1938,5.28980734770812e-07
1939,1.049171872935517e-06
1940,8.063789493917284e-07
1941,1.0005593633621856e-06
1942,6.614581877784076e-07
1943,3.629043916486552e-07
1944,3.566636674889878e-07
1945,7.014783127701207e-07
1946,6.180970544278352e-07
1947,3.8504414412443566e-07
1948,1.057834707829386e-06
1949,5.566243777010982e-07
1950,4.626382323902334e-07
1951,7.633563519071629e-07
1952,7.497355831720398e-07
1953,6.011795739002679e-07
1954,5.511710292616101e-07
1955,8.034080436480906e-07
1956,5.764674670949432e-07
1957,7.72182288777401e-07
1958,6.501983400575284e-07
1959,4.828715949312112e-07
1960,5.22522918933177e-07
1961,6.982899829477418e-07
1962,5.898019761474416e-07
1963,6.737627499253662e-07
1964,8.268112994258559e-07
1965,5.554124030138219e-07
1966,8.103666230274698e-07
1967,4.595072743418527e-07
1968,5.124705322046008e-07
1969,4.777929254462521e-07
1970,6.718737441957501e-07
1971,5.662513892223942e-07
1972,5.740634398954114e-07
1973,5.204464335606396e-07
1974,6.328768321073319e-07
1975,7.544865474606866e-07
1976,6.833378223269904e-07
1977,7.73384478236494e-07
1978,6.986135150377493e-07
1979,6.419614724251232e-07
1980,6.111537174113835e-07
1981,6.717733417316296e-07
1982,6.362689918271158e-07
1983,6.062703232778688e-07
1984,7.82866140802696e-07
1985,6.677269133170682e-07
1986,6.695840271686571e-07
1987,7.125212542757886e-07
1988,9.246686110131463e-07
1989,6.519889432787807e-07
1990,5.889991832597197e-07
1991,7.238909756068779e-07
1992,5.835030778555961e-07
1993,6.00450086096771e-07
1994,6.646407415544786e-07
1995,5.975540732228168e-07
1996,6.448415177384703e-07
1997,5.341512370193868e-07
1998,4.1673448558654513e-07
1999,3.482493194650882e-07
2000,3.4107201796196307e-07
2001,3.4085828362617754e-07
2002,2.812744225866304e-07
2003,2.537656054180104e-07
2004,2.6076363504601296e-07
2005,2.1122585680544148e-07
2006,1.8818757102634365e-07
2007,1.7855323841686754e-07
2008,2.0435710545996244e-07
2009,9.679430590381344e-08
2010,1.610813472052719e-07
2011,4.672893813839618e-07
2012,1.0689353249770939e-07
2013,1.2021129158767963e-07
2014,1.6305802340299547e-07
2015,9.863760744299732e-08
2016,5.136923367787816e-07
2017,1.3383052352433644e-07
2018,1.6314870038280915e-07
2019,1.8596700579465164e-07
