year,soixante - dix pages
1957,3.81372280422454e-08
1958,3.65956713821447e-08
1959,4.973161216170752e-08
1960,3.903216416745181e-08
1961,3.297295569915093e-08
1962,4.4063824589102296e-08
1963,4.8498844440469924e-08
1964,4.295240552121271e-08
1965,3.258286251917042e-08
1966,3.849661989185904e-08
1967,4.345509219128019e-08
1968,5.089162424809501e-08
1969,5.09259558967301e-08
1970,5.715401529826636e-08
1971,4.873045722497693e-08
1972,4.2397533039917334e-08
1973,4.569961120637345e-08
1974,3.2962237050959686e-08
1975,3.789340130566643e-08
1976,4.1655030091902745e-08
1977,5.0658356842703256e-08
1978,3.729777775518528e-08
1979,3.73603836756331e-08
1980,4.070083869933683e-08
1981,4.595465075141192e-08
1982,4.568538614080353e-08
1983,5.622964494023108e-08
1984,4.585054802497268e-08
1985,4.625889560294638e-08
1986,4.8059870749739275e-08
1987,4.028207856165977e-08
1988,7.112678979126486e-08
1989,4.701689237940343e-08
1990,3.880497145836159e-08
1991,4.436648159966694e-08
1992,4.5866270670380516e-08
1993,4.97417848577264e-08
1994,4.7918973677951726e-08
1995,4.920952190179406e-08
1996,5.775196720847475e-08
1997,4.39676182129034e-08
1998,5.098508726320006e-08
1999,5.383954437832017e-08
2000,4.09474969487178e-08
2001,4.1086213542484984e-08
2002,3.866410303032808e-08
2003,4.220277061151023e-08
2004,4.1730886746194074e-08
2005,3.7768001392990413e-08
2006,3.993802338841945e-08
2007,4.8865869572978227e-08
2008,3.9515122951527815e-08
2009,3.7553015808100554e-08
2010,2.9508117671550593e-08
2011,2.3080345190606977e-08
2012,2.0997563687785714e-08
2013,1.72490884353671e-08
2014,3.0657986815896265e-08
2015,2.1082183110365804e-08
2016,2.0861641303326905e-08
2017,2.119655156951339e-08
2018,1.919545911110987e-08
2019,1.7278256936315017e-08
