year,résultats_NOUN heureux_ADJ
1878,3.6113749501964776e-07
1879,3.2073958777800726e-07
1880,3.324444435293117e-07
1881,3.367721035374416e-07
1882,3.247828033181577e-07
1883,2.635164264574996e-07
1884,3.300848447906901e-07
1885,3.0939051498535264e-07
1886,3.4203358723061683e-07
1887,2.7552061965252506e-07
1888,3.0434949849222903e-07
1889,3.6149839388599503e-07
1890,3.224758131636918e-07
1891,3.3847109648377227e-07
1892,3.171867319906596e-07
1893,3.313228091883502e-07
1894,3.428037302910525e-07
1895,3.2861635190784e-07
1896,3.367203476045688e-07
1897,3.0881582802066987e-07
1898,2.953661351057235e-07
1899,4.06277024467272e-07
1900,3.5402982234700175e-07
1901,3.643857837687392e-07
1902,3.1720432502879703e-07
1903,3.1429283353645587e-07
1904,4.057841920257488e-07
1905,4.051195787724282e-07
1906,3.961021945997345e-07
1907,3.5845619095198344e-07
1908,3.6884532050862617e-07
1909,3.9442051047444693e-07
1910,3.981392353580304e-07
1911,4.032843605727976e-07
1912,3.6518042634270387e-07
1913,4.067393035711575e-07
1914,4.071620196555159e-07
1915,3.628474587458186e-07
1916,4.065360883487301e-07
1917,4.5072005150359473e-07
1918,4.0202317563853285e-07
1919,4.548677168259019e-07
1920,3.9602772972102684e-07
1921,3.9832650600146735e-07
1922,3.733235303116089e-07
1923,4.1508357639941096e-07
1924,3.9835120446696237e-07
1925,4.168309430951922e-07
1926,4.0794867572913063e-07
1927,3.1998274607758503e-07
1928,4.364747780982725e-07
1929,3.420104803808499e-07
1930,4.096405348263943e-07
1931,4.0717122828937136e-07
1932,3.8687164760631276e-07
1933,3.5788465879704745e-07
1934,3.6663635682998574e-07
1935,2.8604199542314745e-07
1936,3.3464212378930824e-07
1937,3.7143797726457706e-07
1938,3.630260039244604e-07
1939,3.1658683496971207e-07
1940,2.10469977446337e-07
1941,2.4792620934022125e-07
1942,2.548737825236458e-07
1943,2.177426381422265e-07
1944,2.538417049890995e-07
1945,2.0695787839031254e-07
1946,2.6867732572100067e-07
1947,2.551066415890091e-07
1948,3.055000377116812e-07
1949,2.650592136888008e-07
1950,3.0629840352958126e-07
1951,2.51609094448213e-07
1952,2.0878711382010806e-07
1953,2.0793487465198268e-07
1954,1.866554413254562e-07
1955,2.1211474177107448e-07
1956,1.718064908118322e-07
1957,1.9348732394064427e-07
1958,1.7371711180658167e-07
1959,1.7671705165867024e-07
1960,1.7440500243992574e-07
1961,1.2020315409699833e-07
1962,1.4079142829359625e-07
1963,1.3126087594628189e-07
1964,9.673509993035623e-08
1965,1.1764893059762471e-07
1966,9.804162459658983e-08
1967,1.0797435123777177e-07
1968,9.791286714744274e-08
1969,1.2626087197986635e-07
1970,1.3060379444596038e-07
1971,9.197731287713395e-08
1972,7.079602681869801e-08
1973,7.056900841462266e-08
1974,7.650777433809708e-08
1975,6.682432029947449e-08
1976,6.39915000988367e-08
1977,7.874887586467594e-08
1978,6.712868128033733e-08
1979,5.442335293537326e-08
1980,6.083111259158613e-08
1981,4.933928465788995e-08
1982,5.959202198368985e-08
1983,4.357568172963511e-08
1984,4.233276129639307e-08
1985,5.113224332831123e-08
1986,3.11713250766843e-08
1987,4.522004459772688e-08
1988,5.336933028843305e-08
1989,3.786804469996241e-08
1990,4.794812724639996e-08
1991,3.282420379946416e-08
1992,2.314176583695371e-08
1993,4.4313658520422905e-08
1994,4.008944287647864e-08
1995,2.0063067651676647e-08
1996,2.4021414191111035e-08
1997,3.931813452595634e-08
1998,2.6224711291433778e-08
1999,2.559312584082818e-08
2000,3.401884285381129e-08
2001,2.8039755406439326e-08
2002,3.855474872693776e-08
2003,3.166861262116072e-08
2004,3.523832958762796e-08
2005,2.477062288619436e-08
2006,2.0177660431386357e-08
2007,2.75619083112133e-08
2008,2.3841662866175284e-08
2009,2.813233557219519e-08
2010,2.3146585093059002e-08
2011,1.9502257586623273e-08
2012,1.6340413466764403e-08
2013,1.5061274893923837e-08
2014,1.9705550968751595e-08
2015,1.8619234154471087e-08
2016,4.2669604738421185e-08
2017,1.735771881783421e-08
2018,2.2975052971219156e-08
2019,2.3724185282958388e-08
