year,seriez_VERB assez_ADV
1951,1.8124383771578323e-08
1952,5.2724018928529404e-08
1953,1.8315507332999914e-08
1954,4.886268278880834e-09
1955,1.1262729415761896e-08
1956,6.976913269340912e-09
1957,1.3252556385623393e-08
1958,7.445019267748876e-09
1959,8.525822714489095e-09
1960,3.5296249478733444e-08
1961,1.737039845295385e-08
1962,8.244543714397423e-09
1963,2.5864213881732212e-08
1964,2.4335873760605864e-08
1965,9.302473458205895e-09
1966,1.4401594583546284e-08
1967,1.3804939413830652e-08
1968,1.4821671889819754e-08
1969,1.4533624970169967e-08
1970,1.0117195081704722e-08
1971,5.138397263237948e-09
1972,1.3338381954497436e-08
1973,9.923766697284009e-09
1974,5.625571564138454e-09
1975,5.711480177694739e-09
1976,5.713526984862938e-09
1977,8.815172591880582e-09
1978,8.316828115084718e-09
1979,1.8726314721106974e-08
1980,8.527726080842513e-09
1981,8.855769451088236e-09
1982,4.966001831974154e-09
1983,8.209910973278056e-09
1984,6.378909400694965e-09
1985,5.414002135495366e-09
1986,7.1933827783254856e-09
1987,9.777306964053878e-09
1988,3.597932174415064e-09
1989,9.329808037250586e-09
1990,4.358920779878872e-09
1991,8.20605094986604e-09
1992,5.509944056569793e-09
1993,9.970573700002205e-09
1994,1.3714808844156323e-08
1995,1.0844901865425527e-08
1996,3.736664311304594e-09
1997,4.315404922294874e-09
1998,5.2449422582867555e-09
1999,6.398281460207045e-09
2000,9.277866475088103e-09
2001,1.2267393323384113e-08
2002,3.066854992184176e-09
2003,7.083769126836614e-09
2004,8.80958239690699e-09
2005,7.205999352777326e-09
2006,8.64756888319107e-09
2007,7.988958827809256e-09
2008,5.960415716543821e-09
2009,9.059565542202108e-09
2010,4.2514138876015295e-09
2011,8.030340836739924e-09
2012,1.191488419038933e-08
2013,1.617692468869336e-08
2014,1.7107016248019136e-08
2015,2.0392493027543424e-08
2016,2.195620396605591e-08
2017,1.9370206771895937e-08
2018,1.523065407127433e-08
2019,1.6581420680950032e-08
