year,as_VERB osé_VERB,as_VERB posé_VERB
1850,2.4440385715251978e-08,2.0366988096043315e-09
1851,2.4507867735223954e-08,5.159551008659946e-09
1852,2.4740073101270355e-08,6.510545436100301e-09
1853,3.4040009921909586e-08,6.569124799682413e-09
1854,2.4419623656513068e-08,6.234797567117312e-09
1855,2.865746040470185e-08,5.306937111981824e-10
1856,3.4169449492083004e-08,7.765783571755946e-09
1857,3.124165814938351e-08,6.345961978126979e-09
1858,3.474509924217273e-08,8.808616946964776e-09
1859,3.8700516569178944e-08,9.165912473463322e-09
1860,5.034902272882391e-08,5.950338888283113e-09
1861,4.008569121083383e-08,5.187560159214399e-09
1862,2.801151488540654e-08,4.066187830886747e-09
1863,3.596127129412707e-08,3.496234635136375e-09
1864,3.691940619887646e-08,4.794728170054441e-09
1865,3.577201823645737e-08,7.0602665935837194e-09
1866,3.2113046444237625e-08,6.811858188626729e-09
1867,5.095451882652924e-08,4.85281148598915e-09
1868,1.5807597009143137e-08,3.457911734727759e-09
1869,4.5905078849273195e-08,1.3185501579471293e-08
1870,2.5229814681893004e-08,4.587239033071455e-09
1871,3.717412155879174e-08,8.496941816815706e-09
1872,3.4469834986339265e-08,7.256807155187062e-09
1873,2.5141218884527916e-08,7.183205141814142e-09
1874,1.0156835372754358e-08,4.182226565063729e-09
1875,8.124568751100014e-08,2.8607636259891933e-09
1876,2.6602464231473277e-08,4.232210137899983e-09
1877,2.6594708657512456e-08,4.9478527941460015e-09
1878,3.38188961279684e-08,6.039088784604019e-09
1879,3.1157558311178946e-08,8.55305515301552e-09
1880,1.4761046607247863e-08,1.2835692508872398e-09
1881,2.1614773970668466e-08,5.5780060570498335e-09
1882,2.994923420374107e-08,7.986462158271479e-09
1883,1.8326083761621703e-08,1.2638677882037541e-09
1884,1.8484751507230612e-08,7.922036360241691e-09
1885,8.379326565943757e-09,5.156508553483263e-09
1886,9.680196200179125e-09,2.5813855497602844e-09
1887,1.7628096316002484e-08,3.9173548849191775e-09
1888,2.6630582183884144e-08,3.1703073499755874e-09
1889,2.1301465480405568e-08,6.265136853755848e-09
1890,2.0318598359381213e-08,7.209825181320184e-09
1891,2.677172439291553e-08,3.1871101313640793e-09
1892,3.008885940403161e-08,0.0
1893,2.586534897375259e-08,2.463366621796581e-09
1894,1.764431090123253e-08,2.520615716150587e-09
1895,1.625025980445116e-08,5.416753268150387e-09
1896,1.3563166589847242e-08,2.948514543632541e-09
1897,1.4566784223291052e-08,6.992056267307589e-09
1898,1.1882545614128048e-08,5.092519295146758e-09
1899,1.6029977345510815e-08,8.844125432005967e-09
1900,1.9206897405865675e-08,3.633737311048435e-09
1901,2.6825947685438223e-08,8.38310842965484e-09
1902,2.0132164380015638e-08,4.910283846193408e-10
1903,9.1803746826713e-09,1.0800440541913758e-09
1904,2.0961039126632386e-08,3.7622376325430196e-09
1905,2.2707340008309984e-08,3.096455536422127e-09
1906,1.6461390472954918e-08,5.144184633820714e-09
1907,2.1599941391059474e-08,1.028568674676933e-09
1908,1.080505640516094e-08,7.367083831866239e-09
1909,1.980354014108343e-08,1.870334465081669e-08
1910,1.5498036631811374e-08,3.206490406526541e-09
1911,1.4365010514438836e-08,6.384448969498635e-09
1912,3.125652625612929e-08,3.646594803896619e-09
1913,2.5454351515463713e-08,7.42418571064718e-09
1914,8.036092680185902e-09,5.357394972094198e-09
1915,1.0602685840410686e-08,2.3561523843085297e-09
1916,2.197492321442951e-08,6.592477230782379e-09
1917,2.0836205649743533e-08,1.0966424213165737e-08
1918,8.040463406189247e-09,8.040463406189247e-09
1919,7.366278698128781e-09,5.524709134618888e-09
1920,1.0601124422748853e-08,6.815008557481406e-09
1921,1.438822039290244e-08,3.0290989716519334e-09
1922,3.32007097370024e-08,5.164555005876537e-09
1923,3.6094224498128824e-08,9.554353752605493e-09
1924,3.480738541838946e-08,6.445812328337297e-09
1925,1.8696901804560184e-08,2.1996355847875293e-09
1926,1.7833821530643945e-08,1.0031524944054127e-08
1927,2.0068604555945058e-08,3.3447675740205796e-09
1928,2.6279895593006586e-08,4.570416489713125e-09
1929,2.1166771446701205e-08,4.4561625500705304e-09
1930,1.575540586884472e-08,9.453243521306831e-09
1931,1.596749932275543e-08,6.843213995466613e-09
1932,3.1782654730250215e-08,2.1919073223131136e-09
1933,1.4911860191091364e-08,4.588264879146209e-09
1934,2.995395220750652e-08,4.7926320689839486e-09
1935,1.555876849579363e-08,3.590485242455088e-09
1936,1.9399543305098632e-08,8.487299751891442e-09
1937,1.6368453259474336e-08,1.0072894518486919e-08
1938,2.5930429359277696e-08,9.075650453382877e-09
1939,1.8352860564618823e-08,7.647025235257843e-09
1940,0.0,5.0715658339584024e-09
1941,2.6563522936839945e-08,2.066051862925633e-08
1942,1.517105907566929e-08,1.517105907566929e-08
1943,1.4516175816936538e-08,0.0
1944,2.8918675454292497e-08,1.2852744646352221e-08
1945,4.574858536443571e-08,2.6142048525912287e-08
1946,3.480275978517966e-08,5.568441707737293e-09
1947,2.7418003867296648e-08,3.099426493236024e-08
1948,2.9354097819123126e-08,1.195907639583993e-08
1949,2.5524220959027843e-08,7.853606653895895e-09
1950,2.1270722072586068e-08,2.6588404367089424e-08
1951,2.2388944032059044e-08,1.1727541604500402e-08
1952,6.326882129314981e-08,7.381362632230548e-09
1953,4.5250075686453783e-08,2.0470272588113403e-08
1954,3.518113089739927e-08,1.2704297169818801e-08
1955,1.783265446420046e-08,1.8771215692936494e-08
1956,1.744228228517386e-08,9.593255967388359e-09
1957,3.445664731316356e-08,1.3252556385623393e-08
1958,3.060729980575161e-08,1.9026160202884057e-08
1959,5.115493451057773e-08,1.6276571201956358e-08
1960,4.0832915715327545e-08,1.6610000486139143e-08
1961,3.404598203360365e-08,1.876002997391879e-08
1962,4.249110929777089e-08,1.77574772664002e-08
1963,2.198458126656533e-08,2.198458126656533e-08
1964,2.6161064425878067e-08,1.8251904876365188e-08
1965,2.6265809083270142e-08,1.8057743744748223e-08
1966,3.0464910594218964e-08,1.7725039214155913e-08
1967,2.415864486238206e-08,7.395503320850594e-09
1968,1.8863946849023705e-08,1.3474247495537384e-08
1969,2.7704722072030563e-08,9.537691525451919e-09
1970,2.989171221656761e-08,9.657322941336588e-09
1971,3.0316545718278576e-08,1.5415192677892264e-08
1972,2.257264597460562e-08,5.130146973897354e-09
1973,1.3231689521830958e-08,1.7642252103655665e-08
1974,1.6314157136321228e-08,9.563471792262135e-09
1975,1.9990180177842376e-08,6.282628195464213e-09
1976,2.285410793945175e-08,1.542652228181396e-08
1977,1.4104276857551667e-08,1.469195431980097e-08
1978,2.970295653881294e-08,1.7821774278559133e-08
1979,2.808947208166046e-08,1.2289143924704149e-08
1980,3.013130012163856e-08,1.0801786132219604e-08
1981,2.277197808098208e-08,2.0874313833019187e-08
1982,2.9796010991844923e-08,2.2347007799794483e-08
1983,2.9681984869966982e-08,1.3893695083311286e-08
1984,2.7835241667162336e-08,2.0876431250371752e-08
1985,2.466378745680231e-08,2.2257564680217e-08
1986,3.057187569766029e-08,2.0980699844130868e-08
1987,2.627651163322753e-08,1.1610551631235921e-08
1988,2.878345739532051e-08,2.398621568033832e-08
1989,2.3050112929468014e-08,1.2073869015694072e-08
1990,3.432650075296806e-08,1.961514328741032e-08
1991,2.4618154625954958e-08,2.2859714121636898e-08
1992,2.314176583695371e-08,1.0468894195980738e-08
1993,2.5480353826878854e-08,1.772546376344053e-08
1994,2.9012095836833396e-08,2.479215588380157e-08
1995,2.9281235214284607e-08,1.8978578708583882e-08
1996,2.93595068256991e-08,1.6014276127407356e-08
1997,3.4523239378358994e-08,1.8700088588730068e-08
1998,2.6224711291433778e-08,1.382757464085671e-08
1999,3.290544725587097e-08,1.416762351880152e-08
2000,3.446064411605221e-08,2.7391795498488136e-08
2001,2.93541191354052e-08,1.9715452381774412e-08
2002,3.5926017716292336e-08,2.4534839937473407e-08
2003,3.4168767371056674e-08,1.9584538435424292e-08
2004,3.0833540165531304e-08,1.9821561281219147e-08
2005,2.7923247714056743e-08,2.38698731891418e-08
2006,2.800165077587735e-08,2.5119128110873135e-08
2007,6.750670422661642e-08,4.1143138673760404e-08
2008,4.9386301270715194e-08,3.448526086913262e-08
2009,5.769512867459525e-08,5.8648769396540956e-08
2010,6.377120342904163e-08,6.471596236679034e-08
2011,8.795135642003515e-08,7.074348218338855e-08
2012,9.770205622317008e-08,1.0076588097263084e-07
2013,9.957176416719449e-08,1.034765375607094e-07
2014,1.2667854321080085e-07,1.0718953546984267e-07
2015,1.19473412496518e-07,1.1858678305998183e-07
2016,1.1205949590475939e-07,1.2345186917173123e-07
2017,1.3307584367794334e-07,1.6074756103989785e-07
2018,1.3165480083898728e-07,1.453365712222876e-07
2019,1.3214116734161507e-07,1.2907997870570398e-07
