year,soyons_VERB assez_ADV
1933,3.0970788600370724e-08
1934,1.4377896206951846e-08
1935,2.8723881939640705e-08
1936,4.122402952333459e-08
1937,1.0072894296442314e-08
1938,1.2965214235549638e-08
1939,7.647025235257843e-09
1940,1.7750480196809804e-08
1941,5.017554549624492e-08
1942,5.461581054078124e-08
1943,6.09679391416762e-08
1944,2.2492303131116387e-08
1945,1.9606536394434215e-08
1946,3.3410650246423756e-08
1947,2.980217850279132e-08
1948,3.261566350332146e-08
1949,4.417653798327592e-08
1950,1.5953042664662576e-08
1951,2.0256663457729474e-08
1952,1.7926166773207797e-08
1953,2.693456924163229e-08
1954,1.8567818393933067e-08
1955,2.4402579956728232e-08
1956,2.703553914074064e-08
1957,1.7670075902476157e-08
1958,2.3989506381383308e-08
1959,2.2477169459023116e-08
1960,2.768333318137195e-08
1961,3.265634873628187e-08
1962,3.107558654846798e-08
1963,2.133797583070418e-08
1964,2.8594651757529732e-08
1965,1.9699355924274187e-08
1966,2.326411374653503e-08
1967,2.169347657066112e-08
1968,1.7067379953772388e-08
1969,2.0892085839108177e-08
1970,1.8854772410037413e-08
1971,2.3122789349905304e-08
1972,2.616374805697319e-08
1973,1.7090931780927576e-08
1974,1.4063928910346135e-08
1975,1.4849848017917111e-08
1976,1.9997344002931072e-08
1977,1.410427652448476e-08
1978,1.247524139547096e-08
1979,1.4629933375864823e-08
1980,1.7623966508395483e-08
1981,1.075343419865149e-08
1982,1.6139505731871395e-08
1983,1.1999100379966876e-08
1984,1.507742219963859e-08
1985,1.3234227935754461e-08
1986,1.6784559075944117e-08
1987,1.4054879038383206e-08
1988,9.594485983477341e-09
1989,1.3720305669373545e-08
1990,1.1442166991670888e-08
1991,1.699824947465345e-08
1992,1.3774860363469088e-08
1993,1.717154329838877e-08
1994,5.8024192117756e-09
1995,1.4640616718963884e-08
1996,9.60856594289794e-09
1997,9.110299403758404e-09
1998,1.3350761829400426e-08
1999,1.2339543276063125e-08
2000,1.1045079073568331e-08
2001,1.6210483400058706e-08
2002,1.1829297985599396e-08
2003,1.12506919336397e-08
2004,1.3214374150471997e-08
2005,1.4862373776125537e-08
2006,1.6059770402421236e-08
2007,7.1900629894372514e-09
2008,1.74555030429957e-08
2009,1.2874120436379144e-08
2010,1.5588516810716158e-08
2011,1.491349066462533e-08
2012,1.974466590226598e-08
2013,2.20340877765679e-08
2014,1.9272461182495704e-08
2015,2.4160671685535817e-08
2016,2.4027543954474595e-08
2017,2.087957406970986e-08
2018,2.2975053415308366e-08
2019,2.602007542762408e-08
