year,ayons_VERB été_VERB
1972,7.28480884504279e-08
1973,9.648106669146728e-08
1974,7.0882201441691e-08
1975,7.424924319821002e-08
1976,8.284614239073562e-08
1977,7.757351738746365e-08
1978,6.475244873627162e-08
1979,7.080888053678791e-08
1980,6.765329629843109e-08
1981,5.8827609450418095e-08
1982,5.27637702418815e-08
1983,8.399370443612497e-08
1984,6.552879483479046e-08
1985,6.677269226429416e-08
1986,7.313272476494603e-08
1987,6.355249837497468e-08
1988,1.0793797144970085e-07
1989,8.780995131019154e-08
1990,6.81081360198732e-08
1991,7.795748757644105e-08
1992,5.7854414592384273e-08
1993,6.370088811991081e-08
1994,7.64864367397422e-08
1995,5.856247042856921e-08
1996,5.231330391097799e-08
1997,7.480035435492027e-08
1998,6.580018663271403e-08
1999,5.621347298756518e-08
2000,7.157211001640462e-08
2001,6.265133123406486e-08
2002,6.747080760760582e-08
2003,7.042099525733647e-08
2004,8.060767697770643e-08
2005,7.16096195674254e-08
2006,8.688747499263627e-08
2007,8.747910129613956e-08
2008,8.21685830487695e-08
2009,8.868838108355703e-08
2010,9.069682960216596e-08
2011,8.642176396733703e-08
2012,1.1710629621575208e-07
2013,1.2021128270589543e-07
2014,1.4075394005885755e-07
2015,1.272314307243505e-07
2016,1.389869197510052e-07
2017,1.164728047342578e-07
2018,1.3733402681737061e-07
2019,1.3290646450059285e-07
