year,efforts_NOUN heureux_ADJ
1918,3.5607765624945387e-08
1919,5.4326307008523145e-08
1920,3.104614876292544e-08
1921,4.8465583546430935e-08
1922,3.7627470028667176e-08
1923,2.7601466001669905e-08
1924,1.804827398643738e-08
1925,2.1996356736053713e-08
1926,2.5636119005412183e-08
1927,1.6723836537835268e-08
1928,1.5996457491951332e-08
1929,4.121950425428622e-08
1930,3.676261073337628e-08
1931,1.596749932275543e-08
1932,1.3151444377967891e-08
1933,9.176529758292418e-09
1934,2.995395043114968e-08
1935,3.8298509252854274e-08
1936,4.4861444337129797e-08
1937,3.5255130370615007e-08
1938,1.5558256905023882e-08
1939,3.211750509990452e-08
1940,7.607348528892999e-09
1941,1.7709016475464523e-08
1942,1.2136847082899749e-08
1943,3.193558839598154e-08
1944,6.4263723231761105e-09
1945,1.742803235060819e-08
1946,1.2528993842408909e-08
1947,1.3112957830685446e-08
1948,1.522064252412747e-08
1949,2.1597418964347526e-08
1950,2.446133184896837e-08
1951,1.3859822622919182e-08
1952,1.5817205323287453e-08
1953,1.939288907237824e-08
1954,7.818028890937967e-09
1955,6.569925492527773e-09
1956,9.593255967388359e-09
1957,1.1485549400447326e-08
1958,1.6544486669545222e-08
1959,1.6276571201956358e-08
1960,1.8686249492194662e-08
1961,8.33779090214648e-09
1962,6.341956293454132e-09
1963,7.759263453976928e-09
1964,9.734349326606662e-09
1965,2.0793764932136583e-08
1966,1.107814973089205e-08
1967,1.5284040699725665e-08
1968,2.2007936806289763e-08
1969,1.6350327314285096e-08
1970,1.5175793066646293e-08
1971,1.2332153964678128e-08
1972,7.182205497002769e-09
1973,2.7566018356850464e-09
1974,1.012602890426706e-08
1975,7.996072248772634e-09
1976,1.1998406490576485e-08
1977,7.052138428775834e-09
1978,4.158414057542359e-09
1979,6.437170796402825e-09
1980,1.0233271119375331e-08
1981,6.958104314946922e-09
1982,1.3656505259973528e-08
1983,2.5261264191556165e-09
1984,8.118611560803402e-09
1985,1.8046674155058895e-09
1986,4.196139880008332e-09
1987,1.8332451112712533e-09
1988,5.396898483667201e-09
1989,6.036934507847036e-09
1990,2.724325431913144e-09
1991,5.2753188484189195e-09
1992,1.65298330578878e-09
1993,3.877445031719162e-09
1994,5.274926717646622e-09
1995,4.880205572987961e-09
1996,3.736664311304594e-09
1997,1.917957792585412e-09
1998,4.291316191284977e-09
1999,1.3710603763428253e-09
2000,4.418031274155965e-09
2001,2.190605918883648e-09
2002,4.381221607729913e-09
2003,1.6667691671301554e-09
2004,4.404791198453495e-09
2005,9.007498746882447e-09
2006,1.2353669198716943e-09
2007,3.595031605740928e-09
2008,5.960415716543821e-09
2009,8.582746957586096e-09
2010,0.0
2011,2.6767803529281764e-09
2012,5.446804340891731e-09
2013,3.904775169871755e-09
2014,4.114345752981308e-09
2015,7.75801378694041e-09
2016,9.942432654952427e-09
2017,1.0062445321423752e-09
2018,2.581466596041082e-09
2019,8.16316081397872e-09
