year,nos_DET heureux_ADJ
1914,1.0045115850232378e-08
1915,2.9451904026700504e-08
1916,1.0987461607214755e-08
1917,2.52227767560953e-08
1918,3.445912710731136e-08
1919,1.3811772170413406e-08
1920,9.843901693784574e-09
1921,2.120369302360814e-08
1922,2.8036154453570106e-08
1923,9.554353308516284e-09
1924,2.191576142784868e-08
1925,1.8696901804560184e-08
1926,1.89484357093761e-08
1927,1.2264147142282411e-08
1928,1.1426041335305115e-08
1929,1.6710609784809094e-08
1930,1.0503603875555712e-08
1931,1.7108034988666532e-08
1932,1.8631212128639163e-08
1933,2.1794258842078307e-08
1934,7.188948103475923e-09
1935,1.795242621227544e-08
1936,2.909931406946953e-08
1937,6.295559185076627e-09
1938,1.1668693344901726e-08
1939,2.7529290846928234e-08
1940,1.2678914584896006e-08
1941,2.066051862925633e-08
1942,1.2136847082899749e-08
1943,8.709705845433291e-09
1944,3.2131861615880553e-09
1945,1.3071024262956144e-08
1946,6.960552134671616e-09
1947,9.53669654357725e-09
1948,1.3046265179283978e-08
1949,5.890205101444224e-09
1950,1.808011518278363e-08
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,7.54167928107563e-09
1954,2.0522326282801373e-08
1955,4.6928039232341234e-09
1956,9.593255301254544e-09
1957,1.3252556940734905e-08
1958,1.3235589513271862e-08
1959,3.100299128533379e-09
1960,1.1765416307873977e-08
1961,1.042223907177231e-08
1962,1.2683912586908264e-08
1963,1.4225316924409981e-08
1964,1.1559539880856562e-08
1965,1.3132904208568164e-08
1966,9.970334557962701e-09
1967,1.1832805624223397e-08
1968,1.7067380619906203e-08
1969,9.537691053607134e-09
1970,9.19744974625658e-09
1971,1.4901352374252497e-08
1972,9.234264353175092e-09
1973,9.37244681864513e-09
1974,8.438357623763437e-09
1975,5.140332159925265e-09
1976,3.9994687561772935e-09
1977,4.701425304620699e-09
1978,1.0693064322886414e-08
1979,7.607565244427406e-09
1980,1.0233271230397634e-08
1981,4.427884781055269e-09
1982,6.2075020679230875e-09
1983,6.946847541655643e-09
1984,8.118611560803402e-09
1985,4.210890747202711e-09
1986,1.019062523255343e-08
1987,1.5277042575423394e-08
1988,4.797243047249822e-09
1989,4.390497743145261e-09
1990,3.2691906959314565e-09
1991,3.5168792322792797e-09
1992,6.61193322315512e-09
1993,4.985286850001103e-09
1994,1.1077346040444525e-08
1995,1.3556127220759606e-08
1996,1.1209994044136806e-08
1997,6.7128524960935465e-09
1998,5.2449422582867555e-09
1999,7.769341614505265e-09
2000,1.4137700565797218e-08
2001,1.182927156229141e-08
2002,5.257465574004527e-09
2003,6.250384487760385e-09
2004,5.726228824443069e-09
2005,6.305249655724765e-09
2006,7.412201963319376e-09
2007,8.38840730210677e-09
2008,7.663391338175174e-09
2009,6.198650037703146e-09
2010,4.251413776579227e-09
2011,7.647943611743813e-09
2012,8.170206539093172e-09
2013,7.2517249982695375e-09
2014,8.661780459551238e-09
2015,1.3742767285274127e-08
2016,1.532791671365885e-08
2017,6.792150841761213e-09
2018,9.035133419210695e-09
2019,7.652963596171958e-09
