year,accidents_NOUN heureux_ADJ
1908,1.620758460774141e-08
1909,1.7053048750881317e-08
1910,1.7635697346918278e-08
1911,3.085817112946643e-08
1912,1.5628263128064646e-08
1913,1.590896836489719e-08
1914,1.5402511266415786e-08
1915,4.712304768617059e-09
1916,1.3184954461564757e-08
1917,8.773139548168274e-09
1918,8.040463406189247e-09
1919,1.749491218561161e-08
1920,1.514446346106979e-08
1921,1.5902768879527684e-08
1922,2.2133805899215986e-08
1923,8.492758496458919e-09
1924,1.5469948877466777e-08
1925,1.3197813508725176e-08
1926,1.560459372829115e-08
1927,1.0034302277972529e-08
1928,1.82816659588525e-08
1929,1.4482528065684619e-08
1930,3.2561171536826805e-08
1931,1.0264820993199919e-08
1932,2.520693431762311e-08
1933,1.261772819560747e-08
1934,2.036868629318178e-08
1935,1.9149254626427137e-08
1936,1.576212937948185e-08
1937,1.7627565185307503e-08
1938,7.779128452511941e-09
1939,1.070583532936098e-08
1940,1.0143131667916805e-08
1941,1.1806010391524069e-08
1942,0.0
1943,2.322588166236983e-08
1944,2.8918675454292497e-08
1945,2.3963544037997053e-08
1946,1.5313215584455975e-08
1947,2.1457568166738383e-08
1948,2.9354097819123126e-08
1949,1.178041031391075e-08
1950,7.444753258312176e-09
1951,1.2793682557799002e-08
1952,8.43584291310151e-09
1953,1.1851209791302608e-08
1954,9.772536557761669e-09
1955,6.569925492527773e-09
1956,6.104799332717903e-09
1957,9.718541527092839e-09
1958,7.445019267748876e-09
1959,1.1626121398933265e-08
1960,1.9378333382391588e-08
1961,1.0422239238305764e-08
1962,1.902586960200736e-08
1963,7.759263453976928e-09
1964,9.125952438182594e-09
1965,2.0793764932136583e-08
1966,9.970334780007306e-09
1967,2.070740912074598e-08
1968,1.2126823101255013e-08
1969,1.3171097990039016e-08
1970,1.103694025061941e-08
1971,1.4387513402880359e-08
1972,9.747279428040656e-09
1973,1.8744893248712202e-08
1974,5.625571564138454e-09
1975,1.0851811893530794e-08
1976,6.2848797277581525e-09
1977,8.815172591880582e-09
1978,5.940591130126904e-09
1979,8.777960247563499e-09
1980,6.253665585376211e-09
1981,8.223214109648325e-09
1982,8.69050320595477e-09
1983,5.052252838311233e-09
1984,4.639206796497319e-09
1985,1.0226449020933615e-08
1986,5.994485352545098e-09
1987,1.4054879038383206e-08
1988,7.195864348830128e-09
1989,6.036934507847036e-09
1990,1.0897301727652575e-08
1991,7.033758464558559e-09
1992,1.3223866057732181e-08
1993,6.647049133334804e-09
1994,1.0549853213248639e-09
1995,3.253470381991974e-09
1996,6.4057106285986265e-09
1997,1.2946214877906925e-08
1998,4.7681290027412615e-09
1999,5.941261704833778e-09
2000,3.5344251969604557e-09
2001,5.257454027685071e-09
2002,3.066854992184176e-09
2003,1.2500768420409258e-08
2004,1.3654853248112886e-08
2005,9.007498746882447e-09
2006,1.1118302500889854e-08
2007,8.38840730210677e-09
2008,7.2376473703172906e-09
2009,7.1522885392028e-09
2010,3.7790344187271785e-09
2011,4.5887662558641296e-09
2012,5.1063788752969685e-09
2013,6.414987652192394e-09
2014,7.57905826986871e-09
2015,9.97458915463767e-09
2016,1.5535050579273957e-08
2017,4.2765391228272165e-09
2018,8.26069346260283e-09
2019,9.183556137770665e-09
