year,seriez_VERB heureux_ADJ
1888,2.282621380800265e-08
1889,1.3783300722991498e-08
1890,2.4251230357208442e-08
1891,1.8485238229004608e-08
1892,1.5044429702015805e-08
1893,1.6627724974682678e-08
1894,1.764431090123253e-08
1895,1.2037228991346183e-08
1896,2.1229304536518612e-08
1897,1.2236098356765979e-08
1898,3.168678830434146e-08
1899,2.65323762960179e-08
1900,1.7130474816440255e-08
1901,1.620734302321125e-08
1902,1.915010727771005e-08
1903,1.9980815224585058e-08
1904,8.599400302955473e-09
1905,2.115911179600971e-08
1906,1.9033482345776065e-08
1907,7.199980611716228e-09
1908,1.4734167663732478e-08
1909,2.640472018811124e-08
1910,1.3894791983659616e-08
1911,2.0217422402879492e-08
1912,1.40654377034366e-08
1913,1.5378670781274195e-08
1914,8.036092680185902e-09
1915,1.0602685840410686e-08
1916,8.789969641043172e-09
1917,5.483212106582869e-09
1918,2.067547733020092e-08
1919,2.3940405213807026e-08
1920,2.953170330499688e-08
1921,2.4232791773215467e-08
1922,1.475587119159627e-08
1923,3.1847843473542525e-08
1924,2.5783249313349188e-08
1925,2.3096173862313663e-08
1926,1.671920735191179e-08
1927,3.0102906833917586e-08
1928,1.4853853258500749e-08
1929,2.0052731031228177e-08
1930,1.470504518152893e-08
1931,1.710803587684495e-08
1932,1.2055489939655217e-08
1933,2.408838994938378e-08
1934,1.1981580172459871e-08
1935,1.6755597798123745e-08
1936,7.274828739411987e-09
1937,2.5182236296217297e-09
1938,1.9447821131279852e-08
1939,1.6823456405745674e-08
1940,2.2822046474857416e-08
1941,2.066051862925633e-08
1942,6.068423541449874e-09
1943,1.4516175816936538e-08
1944,4.177142187700156e-08
1945,1.3071024262956144e-08
1946,2.227376683094917e-08
1947,2.26496545963073e-08
1948,2.0656587551570738e-08
1949,2.4542520904446974e-08
1950,2.7651939404904624e-08
1951,2.0256663901818683e-08
1952,1.687168627029223e-08
1953,1.0773827163745864e-08
1954,1.3681550115052232e-08
1955,1.595553378308523e-08
1956,1.4825940475304833e-08
1957,7.068030161150318e-09
1958,9.926692356998501e-09
1959,1.5501495198577686e-08
1960,1.1073333361366622e-08
1961,1.598076693198891e-08
1962,1.4586500007851555e-08
1963,1.4871922360271128e-08
1964,1.3384730657151067e-08
1965,2.5718604135249734e-08
1966,1.9386762417639147e-08
1967,1.4791006641701188e-08
1968,1.661823922916028e-08
1969,1.3171097990039016e-08
1970,1.4256047897731605e-08
1971,1.6956711590410123e-08
1972,8.208234980600082e-09
1973,1.543697081274331e-08
1974,1.3501372464475025e-08
1975,6.8537762132336866e-09
1976,5.142174241967723e-09
1977,8.815172591880582e-09
1978,1.1881182260253809e-08
1979,9.948355028654987e-09
1980,1.3644362084619388e-08
1981,1.2651098835192442e-08
1982,1.0552754226011984e-08
1983,1.136756910824488e-08
1984,1.2177918229383522e-08
1985,5.414002135495366e-09
1986,8.392279760016663e-09
1987,1.5277041853778428e-08
1988,8.395175221664886e-09
1989,1.2622680678475717e-08
1990,1.3076762783725826e-08
1991,9.37834432335194e-09
1992,1.4876849085965205e-08
1993,1.2186256448387667e-08
1994,1.002236071911966e-08
1995,1.0844901865425527e-08
1996,1.3879040139386234e-08
1997,8.151320507465698e-09
1998,1.1920323395031573e-08
1999,9.597422412355172e-09
2000,4.418031274155965e-09
2001,9.20054432640427e-09
2002,1.3143664823189738e-08
2003,9.58392298855415e-09
2004,7.047666006343434e-09
2005,1.0808999029165989e-08
2006,1.1118302722934459e-08
2007,1.3181781888249589e-08
2008,1.6604014163590364e-08
2009,1.6211854969583328e-08
2010,1.0864724231396394e-08
2011,1.873746313663105e-08
2012,3.302125151094515e-08
2013,2.900689999307815e-08
2014,3.2481676015549965e-08
2015,3.103205514776164e-08
2016,3.2934305949083864e-08
2017,3.09420187249998e-08
2018,3.407535942301365e-08
2019,2.9081260066732284e-08
