year,concours_NOUN heureux_ADJ
1969,2.361714024345929e-08
1970,1.977451802304131e-08
1971,1.2332153964678128e-08
1972,1.6416469961200164e-08
1973,8.269805285010534e-09
1974,8.438357568252286e-09
1975,2.1132477101559743e-08
1976,1.199840671262109e-08
1977,1.704266772151186e-08
1978,1.2475242172627077e-08
1979,1.2289143924704149e-08
1980,1.3075846183596695e-08
1981,5.060439622894819e-09
1982,1.0552754226011984e-08
1983,7.57837881337764e-09
1984,5.219107812592938e-09
1985,9.624892882698077e-09
1986,7.1933827783254856e-09
1987,5.49973533381376e-09
1988,7.195864348830128e-09
1989,1.3171493229435782e-08
1990,6.538381391862913e-09
1991,9.96449056600568e-09
1992,5.509944056569793e-09
1993,8.308811416668505e-09
1994,1.160483886764041e-08
1995,7.0491861237087505e-09
1996,1.1209993822092201e-08
1997,3.835915585170824e-09
1998,2.86087753487152e-09
1999,7.312321859131998e-09
2000,3.97622823555821e-09
2001,6.133696661692056e-09
2002,7.886198361006791e-09
2003,2.5001538617175356e-09
2004,5.285749615779878e-09
2005,3.1526248278623825e-09
2006,3.706100981659688e-09
2007,3.994479413904628e-09
2008,4.257439734089985e-09
2009,6.198650481792356e-09
2010,2.8342759250676863e-09
2011,6.500752380844688e-09
2012,4.085103366691101e-09
2013,4.741512515948898e-09
2014,4.330890313042346e-09
2015,3.32486305154589e-09
2016,9.942432654952427e-09
2017,3.773417134311785e-09
2018,4.64663996169179e-09
2019,3.826481798085979e-09
