year,traits_NOUN heureux_ADJ
1880,1.4696867367547384e-07
1881,9.412885049187025e-08
1882,7.52058539887912e-08
1883,1.1943551214699255e-07
1884,8.648223115415021e-08
1885,8.572695264774666e-08
1886,8.324968092665586e-08
1887,8.357023517646667e-08
1888,6.911270133969083e-08
1889,6.954302023132186e-08
1890,5.964491833765351e-08
1891,7.266611135037238e-08
1892,9.152027757863834e-08
1893,5.4194064347257154e-08
1894,5.419323656496999e-08
1895,5.236194766666813e-08
1896,4.8355637716213096e-08
1897,5.477110676110897e-08
1898,5.4320206999136644e-08
1899,4.643165851803133e-08
1900,5.3467847038746186e-08
1901,5.979950401524547e-08
1902,4.8611809688736685e-08
1903,3.456140973412403e-08
1904,3.6009989656804464e-08
1905,3.251278357652154e-08
1906,4.3211148437194424e-08
1907,4.422845378826423e-08
1908,4.518478036175111e-08
1909,3.5206294768386215e-08
1910,3.099607326362275e-08
1911,3.6710581241550244e-08
1912,4.740573444905749e-08
1913,3.3939134169713725e-08
1914,4.3528835647066444e-08
1915,3.2986132936230206e-08
1916,2.7468654906215306e-08
1917,2.4126133979507358e-08
1918,4.135095466040184e-08
1919,3.038589824200244e-08
1920,4.467616676606667e-08
1921,5.300923078266351e-08
1922,4.574319945049865e-08
1923,6.157249998750558e-08
1924,3.9964035636330664e-08
1925,3.189471442510694e-08
1926,5.015762383209221e-08
1927,4.1252132376712325e-08
1928,3.313552099371009e-08
1929,3.119313873867213e-08
1930,4.516549623190258e-08
1931,3.877821086462063e-08
1932,4.822195975862087e-08
1933,2.408838994938378e-08
1934,3.2350264689284813e-08
1935,2.6330225111337313e-08
1936,1.6974599503782883e-08
1937,1.1332006444320086e-08
1938,3.1116513810047763e-08
1939,1.2235240376412548e-08
1940,4.3108308034334186e-08
1941,1.1806010391524069e-08
1942,1.2136847082899749e-08
1943,1.7419411690866582e-08
1944,2.8918675454292497e-08
1945,1.5249527862692958e-08
1946,1.6705325123211878e-08
1947,4.887557025767819e-08
1948,2.5005341797168512e-08
1949,2.1597418964347526e-08
1950,1.2762433776458693e-08
1951,2.2388944032059044e-08
1952,1.0544804140977249e-08
1953,1.8315507332999914e-08
1954,1.4658803948464083e-08
1955,3.566530892840092e-08
1956,2.2674967681268754e-08
1957,1.3252556385623393e-08
1958,1.7371711180658167e-08
1959,2.015194411342236e-08
1960,4.844583401109048e-09
1961,1.389631876236308e-08
1962,1.5220695814832652e-08
1963,1.681173777967615e-08
1964,8.517555549758526e-09
1965,2.407699106754535e-08
1966,2.7141465963609335e-08
1967,4.9796391010659136e-08
1968,6.602381574793981e-08
1969,2.3162964879475112e-08
1970,3.9089162129357646e-08
1971,3.083038535578453e-08
1972,3.437198259348406e-08
1973,9.37244681864513e-09
1974,1.1813700240281833e-08
1975,8.567219822452898e-09
1976,5.713526984862938e-09
1977,1.704266772151186e-08
1978,1.7821774278559133e-08
1979,1.2289143924704149e-08
1980,3.97960553399912e-09
1981,8.223214109648325e-09
1982,4.966001831974154e-09
1983,7.57837881337764e-09
1984,4.059305780401701e-09
1985,7.218669662023558e-09
1986,4.7955883708539204e-09
1987,6.110816741511371e-09
1988,4.797243047249822e-09
1989,1.2622680678475717e-08
1990,8.172976073694826e-09
1991,5.8614650910726596e-09
1992,3.856960972825618e-09
1993,3.877445031719162e-09
1994,5.274926717646622e-09
1995,1.2471637056421514e-08
1996,6.4057106285986265e-09
1997,4.315404922294874e-09
1998,9.059445638115449e-09
1999,5.484241505371301e-09
2000,6.185244316725402e-09
2001,8.762423675534592e-09
2002,7.009954394732176e-09
2003,5.416999737661854e-09
2004,4.845270407116686e-09
2005,4.053374524914943e-09
2006,5.353256948836815e-09
2007,3.994479413904628e-09
2008,6.3861596011349775e-09
2009,1.0966842545201416e-08
2010,1.1337103700270745e-08
2011,1.529588788962144e-09
2012,6.808505315092361e-09
2013,2.2313000336282585e-09
2014,4.980523993225461e-09
2015,6.428068743957738e-09
2016,1.864206033985738e-08
2017,3.2702947017071438e-09
2018,2.0651733656507076e-09
2019,4.591778068885333e-09
