year,époux_NOUN heureux_ADJ
1961,1.0422239238305764e-08
1962,3.805173953708163e-09
1963,1.0992290633282664e-08
1964,6.6923653285755336e-09
1965,7.660860668057268e-09
1966,2.215629901769489e-09
1967,9.860671390526932e-09
1968,8.533690198930799e-09
1969,7.72098829315837e-09
1970,8.737577245065964e-09
1971,9.762954888969944e-09
1972,1.0260293947794707e-08
1973,6.064523994098181e-09
1974,6.1881286761433785e-09
1975,6.8537762132336866e-09
1976,6.2848797277581525e-09
1977,7.639816779203557e-09
1978,1.0099005187669263e-08
1979,1.1118749476679568e-08
1980,6.253665585376211e-09
1981,7.590659323319926e-09
1982,4.345251713999687e-09
1983,3.78918940668882e-09
1984,1.739702604197646e-09
1985,5.414002135495366e-09
1986,8.991728250862252e-09
1987,9.166225112267057e-09
1988,5.99655392008458e-09
1989,5.488121956886971e-09
1990,2.724325431913144e-09
1991,7.6199047072123e-09
1992,8.815910668147353e-09
1993,3.877445031719162e-09
1994,3.6924485691258724e-09
1995,7.0491861237087505e-09
1996,4.804283193493575e-09
1997,3.3564261370244708e-09
1998,7.629006981701991e-09
1999,3.6561608462992723e-09
2000,3.5344251969604557e-09
2001,4.381211837767296e-09
2002,6.1337101509018055e-09
2003,5.416999737661854e-09
2004,3.0833537945085254e-09
2005,9.908248665979613e-09
2006,9.059357874985352e-09
2007,5.192823504529542e-09
2008,1.0217855089811323e-08
2009,4.291373478793048e-09
2010,5.668551850135373e-09
2011,3.823971805871906e-09
2012,5.1063788752969685e-09
2013,6.136075203500013e-09
2014,7.362513709807672e-09
2015,9.087959010334323e-09
2016,1.3670844289936923e-08
2017,3.2702947017071438e-09
2018,6.711813327342497e-09
2019,7.652963207593899e-09
