bonADJanNOUN_count,bonADJrangNOUN_count
719.0000139020055,122.00000614163832
886.000044830968,167.00000502223892
676.0000168343663,134.99999706415656
789.0000020816424,135.00000540482807
771.9999867214792,118.99999231305587
780.9999818088834,96.00000272157175
765.9999883790803,125.00000252918738
819.9999905365266,138.00000025763367
780.9999854721125,148.9999919579596
868.9999807895556,100.99999555831675
981.9999940713585,99.00000118217775
972.9999799759828,142.99999814271632
803.0000012121569,115.00000263428183
865.9999556313373,122.99999341528554
860.9999825920571,135.99999021827216
902.0000369321398,116.00000340555532
949.999983164794,110.99999320525309
951.0000206271724,119.00000097149483
1004.0000267373633,137.00000009133808
983.9999501297891,119.99999555384332
933.0000424181163,93.00000515301159
964.9999977722995,122.99999967438947
881.0000216367475,136.99999657186254
1032.000037193761,109.00000180688129
989.9999907819481,100.9999998346623
